shipment_id,origin_node_id,dest_node_id,product_id,mode,ship_date,delivery_date,planned_transit_days,actual_transit_days,cost,quantity,origin_name,origin_type,origin_country,dest_name,dest_type,dest_country,product_name,category,delay_days,is_late,cost_per_unit
SHP000001,SUP0040,WH0002,PRD0098,ocean,2025-12-12,2026-01-02,21,21,10393.67,217,"Santos, Kim and Holmes",supplier,Turkey,Singapore Warehouse 2,warehouse,Singapore,CHEM-Different-98,Chemicals,0,False,47.897
SHP000002,SUP0029,WH0002,PRD0025,ocean,2024-09-22,2024-10-18,24,26,3820.46,67,Chavez Ltd,supplier,Poland,Singapore Warehouse 2,warehouse,Singapore,CHEM-Relationship-25,Chemicals,2,True,57.022
SHP000003,SUP0014,WH0007,PRD0092,ocean,2025-03-22,2025-04-10,20,19,9508.82,205,"Flowers, Martin and Kelly",supplier,United States,Germany Warehouse 7,warehouse,Germany,ELEC-Time-92,Electronics,-1,False,46.384
SHP000004,SUP0027,WH0001,PRD0089,ocean,2025-02-13,2025-03-09,24,24,28367.39,501,"Valencia, Smith and Le",supplier,Vietnam,Germany Warehouse 1,warehouse,Germany,ELEC-Better-89,Electronics,0,False,56.622
SHP000005,SUP0018,WH0004,PRD0068,ocean,2026-02-20,2026-03-07,18,15,5295.75,126,Underwood LLC,supplier,Philippines,United Arab Emirates Warehouse 4,warehouse,United Arab Emirates,FURN-List-68,Furniture,-3,False,42.03
SHP000006,SUP0003,WH0001,PRD0012,ocean,2026-01-08,2026-01-30,24,22,2507.99,44,Johnson-Davis,supplier,Vietnam,Germany Warehouse 1,warehouse,Germany,ELEC-Second-12,Electronics,-2,False,57.0
SHP000007,SUP0038,WH0003,PRD0118,air,2026-06-13,2026-06-17,4,4,128178.22,307,Rose-Obrien,supplier,South Africa,Netherlands Warehouse 3,warehouse,Netherlands,CHEM-Recently-118,Chemicals,0,False,417.519
SHP000008,SUP0017,WH0008,PRD0138,air,2024-11-06,2024-11-10,5,4,69043.35,127,"Hawkins, Cohen and Cameron",supplier,Nigeria,South Korea Warehouse 8,warehouse,South Korea,CHEM-Tonight-138,Chemicals,-1,False,543.648
SHP000009,SUP0011,WH0009,PRD0032,ocean,2025-07-07,2025-07-30,27,23,40829.46,625,"Montgomery, Hensley and Ray",supplier,Indonesia,Germany Warehouse 9,warehouse,Germany,FURN-Us-32,Furniture,-4,False,65.327
SHP000010,SUP0021,WH0004,PRD0097,rail,2024-09-25,2024-09-30,5,5,7289.43,310,"Ellis, Baker and Wright",supplier,India,United Arab Emirates Warehouse 4,warehouse,United Arab Emirates,ELEC-Medical-97,Electronics,0,False,23.514
SHP000011,SUP0010,WH0001,PRD0021,ocean,2025-02-09,2025-02-17,10,8,3615.73,201,"Martinez, Nielsen and Miller",supplier,Egypt,Germany Warehouse 1,warehouse,Germany,MACH-Avoid-21,Machinery,-2,False,17.989
SHP000012,SUP0008,WH0002,PRD0142,rail,2025-09-05,2025-09-13,8,8,15377.83,319,Davis Inc,supplier,Pakistan,Singapore Warehouse 2,warehouse,Singapore,TEXT-Movie-142,Textiles,0,False,48.206
SHP000013,SUP0015,WH0004,PRD0076,ocean,2024-09-23,2024-10-01,8,8,8528.29,603,"Zuniga, Wong and Lynch",supplier,India,United Arab Emirates Warehouse 4,warehouse,United Arab Emirates,PACK-Wind-76,Packaging,0,False,14.143
SHP000014,SUP0022,WH0008,PRD0093,ocean,2025-01-26,2025-02-12,15,17,31323.5,960,Burgess-Patterson,supplier,Pakistan,South Korea Warehouse 8,warehouse,South Korea,TEXT-Economic-93,Textiles,2,True,32.629
