edge_id,origin_node_id,dest_node_id,mode,avg_lead_time_days,avg_cost_per_unit,capacity,origin_name,origin_type,origin_country,origin_lat,origin_lon,dest_name,dest_type,dest_country,dest_lat,dest_lon
EDGE00001,DC0001,CUST0001,air,3.2,367.99,467,India Distribution Center 1,distribution_center,India,20.9256,77.8785,South Africa Region 1,customer_region,South Africa,-33.1697,25.6333
EDGE00002,DC0001,CUST0001,ocean,20.6,49.065,477,India Distribution Center 1,distribution_center,India,20.9256,77.8785,South Africa Region 1,customer_region,South Africa,-33.1697,25.6333
EDGE00003,DC0001,CUST0002,rail,1.3,4.073,308,India Distribution Center 1,distribution_center,India,20.9256,77.8785,India Region 2,customer_region,India,23.3838,80.8104
EDGE00004,DC0001,CUST0002,road,1.0,7.331,564,India Distribution Center 1,distribution_center,India,20.9256,77.8785,India Region 2,customer_region,India,23.3838,80.8104
EDGE00005,DC0001,CUST0003,air,5.1,602.541,770,India Distribution Center 1,distribution_center,India,20.9256,77.8785,United States Region 3,customer_region,United States,38.6477,-100.994
EDGE00006,DC0001,CUST0003,ocean,31.0,80.339,782,India Distribution Center 1,distribution_center,India,20.9256,77.8785,United States Region 3,customer_region,United States,38.6477,-100.994
EDGE00007,DC0001,CUST0004,air,3.2,366.763,456,India Distribution Center 1,distribution_center,India,20.9256,77.8785,South Africa Region 4,customer_region,South Africa,-29.4546,22.5809
EDGE00008,DC0001,CUST0004,ocean,20.3,48.902,532,India Distribution Center 1,distribution_center,India,20.9256,77.8785,South Africa Region 4,customer_region,South Africa,-29.4546,22.5809
EDGE00009,DC0001,CUST0005,air,3.7,327.958,330,India Distribution Center 1,distribution_center,India,20.9256,77.8785,France Region 5,customer_region,France,43.9622,2.1811
EDGE00010,DC0001,CUST0005,ocean,19.0,43.728,579,India Distribution Center 1,distribution_center,India,20.9256,77.8785,France Region 5,customer_region,France,43.9622,2.1811
EDGE00011,DC0001,CUST0006,air,3.0,345.638,441,India Distribution Center 1,distribution_center,India,20.9256,77.8785,Spain Region 6,customer_region,Spain,37.6663,-1.2941
EDGE00012,DC0001,CUST0006,ocean,19.4,46.085,378,India Distribution Center 1,distribution_center,India,20.9256,77.8785,Spain Region 6,customer_region,Spain,37.6663,-1.2941
EDGE00013,DC0001,CUST0007,air,2.4,232.758,301,India Distribution Center 1,distribution_center,India,20.9256,77.8785,South Korea Region 7,customer_region,South Korea,34.4627,128.7451
EDGE00014,DC0001,CUST0007,ocean,14.1,31.034,596,India Distribution Center 1,distribution_center,India,20.9256,77.8785,South Korea Region 7,customer_region,South Korea,34.4627,128.7451
EDGE00015,DC0001,CUST0007,rail,8.2,51.724,312,India Distribution Center 1,distribution_center,India,20.9256,77.8785,South Korea Region 7,customer_region,South Korea,34.4627,128.7451
EDGE00016,DC0001,CUST0008,air,3.6,352.996,498,India Distribution Center 1,distribution_center,India,20.9256,77.8785,Spain Region 8,customer_region,Spain,39.3303,-3.6296
EDGE00017,DC0001,CUST0008,ocean,19.4,47.066,446,India Distribution Center 1,distribution_center,India,20.9256,77.8785,Spain Region 8,customer_region,Spain,39.3303,-3.6296
EDGE00018,DC0001,CUST0009,air,3.2,374.563,360,India Distribution Center 1,distribution_center,India,20.9256,77.8785,South Africa Region 9,customer_region,South Africa,-30.2797,21.0491
EDGE00019,DC0001,CUST0009,ocean,20.7,49.942,608,India Distribution Center 1,distribution_center,India,20.9256,77.8785,South Africa Region 9,customer_region,South Africa,-30.2797,21.0491
EDGE00020,DC0001,CUST0010,air,4.3,500.87,223,India Distribution Center 1,distribution_center,India,20.9256,77.8785,Canada Region 10,customer_region,Canada,58.9475,-104.6992
EDGE00021,DC0001,CUST0010,ocean,26.6,66.783,412,India Distribution Center 1,distribution_center,India,20.9256,77.8785,Canada Region 10,customer_region,Canada,58.9475,-104.6992
EDGE00022,DC0001,CUST0011,air,3.0,317.941,314,India Distribution Center 1,distribution_center,India,20.9256,77.8785,France Region 11,customer_region,France,48.867,4.579
EDGE00023,DC0001,CUST0011,ocean,18.1,42.392,416,India Distribution Center 1,distribution_center,India,20.9256,77.8785,France Region 11,customer_region,France,48.867,4.579
EDGE00024,DC0001,CUST0012,air,5.6,647.233,919,India Distribution Center 1,distribution_center,India,20.9256,77.8785,Brazil Region 12,customer_region,Brazil,-13.6526,-49.3988
EDGE00025,DC0001,CUST0012,ocean,33.9,86.298,442,India Distribution Center 1,distribution_center,India,20.9256,77.8785,Brazil Region 12,customer_region,Brazil,-13.6526,-49.3988
EDGE00026,DC0001,CUST0013,rail,1.2,3.214,535,India Distribution Center 1,distribution_center,India,20.9256,77.8785,India Region 13,customer_region,India,18.121,77.1359
EDGE00027,DC0001,CUST0013,road,1.0,5.786,551,India Distribution Center 1,distribution_center,India,20.9256,77.8785,India Region 13,customer_region,India,18.121,77.1359
EDGE00028,DC0001,CUST0014,air,2.5,267.82,249,India Distribution Center 1,distribution_center,India,20.9256,77.8785,Japan Region 14,customer_region,Japan,33.4714,137.202
EDGE00029,DC0001,CUST0014,ocean,14.9,35.709,600,India Distribution Center 1,distribution_center,India,20.9256,77.8785,Japan Region 14,customer_region,Japan,33.4714,137.202
EDGE00030,DC0001,CUST0014,rail,9.9,59.516,447,India Distribution Center 1,distribution_center,India,20.9256,77.8785,Japan Region 14,customer_region,Japan,33.4714,137.202
EDGE00031,DC0001,CUST0015,air,2.8,295.75,230,India Distribution Center 1,distribution_center,India,20.9256,77.8785,Italy Region 15,customer_region,Italy,41.2021,11.1981
EDGE00032,DC0001,CUST0015,ocean,16.2,39.433,393,India Distribution Center 1,distribution_center,India,20.9256,77.8785,Italy Region 15,customer_region,Italy,41.2021,11.1981
EDGE00033,DC0001,CUST0016,air,2.7,318.014,422,India Distribution Center 1,distribution_center,India,20.9256,77.8785,Netherlands Region 16,customer_region,Netherlands,54.1024,4.4305
EDGE00034,DC0001,CUST0016,ocean,19.8,42.402,623,India Distribution Center 1,distribution_center,India,20.9256,77.8785,Netherlands Region 16,customer_region,Netherlands,54.1024,4.4305
