po_id,supplier_node_id,product_id,order_date,quantity,unit_price,currency,total_value,status,supplier_name,supplier_country,esg_score,product_name,category,invoice_date,payment_status,payment_date,order_month,country_risk_index,currency_volatility,sanctions_flag
PO000001,SUP0033,PRD0070,2025-09-27,72,13.91,USD,1001.52,fulfilled,"Sellers, George and Burns",China,78.7,PACK-Knowledge-70,Packaging,2025-10-05,paid,2025-11-06,2025-09,27.9,0.076,False
PO000002,SUP0030,PRD0021,2024-09-30,167,1038.54,USD,173436.18,fulfilled,Stanton-Gill,Indonesia,60.5,MACH-Avoid-21,Machinery,2024-10-01,pending,,2024-09,,,
PO000003,SUP0013,PRD0144,2024-11-29,525,4.68,USD,2457.0,open,Delacruz Group,Germany,77.3,FURN-Today-144,Furniture,2024-12-04,pending,,2024-11,16.0,0.028,False
PO000004,SUP0026,PRD0057,2026-08-17,401,346.24,USD,138842.24,fulfilled,James-Ferrell,Egypt,85.3,CHEM-Ask-57,Chemicals,2026-08-18,paid,2026-08-25,2026-08,63.3,0.217,False
PO000005,SUP0032,PRD0028,2026-05-28,503,186.07,USD,93593.21,fulfilled,"Lynch, Hernandez and Farmer",Vietnam,57.2,AUTO-Notice-28,Automotive Parts,2026-06-02,paid,2026-06-15,2026-05,44.9,0.097,False
PO000006,SUP0008,PRD0147,2025-12-23,247,105.8,USD,26132.6,fulfilled,Davis Inc,Pakistan,69.7,FURN-Physical-147,Furniture,2026-01-01,paid,2026-01-29,2025-12,66.7,0.291,False
PO000007,SUP0021,PRD0004,2024-09-09,585,935.71,USD,547390.35,open,"Ellis, Baker and Wright",India,80.5,FOOD-Against-4,Food & Beverage,2024-09-22,pending,,2024-09,,,
PO000008,SUP0034,PRD0070,2025-08-12,143,2.39,USD,341.77,open,Koch-Decker,India,69.9,PACK-Knowledge-70,Packaging,2025-08-20,paid,2025-09-03,2025-08,39.7,0.107,False
PO000009,SUP0015,PRD0150,2025-02-18,175,2825.03,USD,494380.25,open,"Zuniga, Wong and Lynch",India,76.1,TEXT-Training-150,Textiles,2025-02-21,pending,,2025-02,38.3,0.092,False
PO000010,SUP0024,PRD0119,2026-05-31,374,592.04,USD,221422.96,fulfilled,Campos Inc,Mexico,79.6,TEXT-Serious-119,Textiles,2026-06-07,paid,2026-06-22,2026-05,40.3,0.102,False
PO000011,SUP0021,PRD0109,2024-12-30,45,1263.98,USD,56879.1,fulfilled,"Ellis, Baker and Wright",India,80.5,CHEM-Step-109,Chemicals,2025-01-10,pending,,2024-12,38.4,0.078,False
PO000012,SUP0034,PRD0026,2025-08-28,372,433.33,USD,161198.76,fulfilled,Koch-Decker,India,69.9,PACK-Mention-26,Packaging,2025-09-08,paid,2025-10-21,2025-08,39.7,0.107,False
PO000013,SUP0033,PRD0065,2024-10-08,214,109.24,USD,23377.36,fulfilled,"Sellers, George and Burns",China,78.7,FURN-Dark-65,Furniture,2024-10-20,pending,,2024-10,32.3,0.066,False
PO000014,SUP0003,PRD0111,2026-03-16,191,2371.8,USD,453013.8,cancelled,Johnson-Davis,Vietnam,88.7,PACK-Look-111,Packaging,,,,2026-03,41.4,0.138,False
PO000015,SUP0006,PRD0081,2026-04-10,192,71.56,USD,13739.52,fulfilled,Blake and Sons,China,58.0,PACK-Total-81,Packaging,2026-04-13,paid,2026-05-21,2026-04,27.5,0.096,False
PO000016,SUP0036,PRD0103,2025-09-25,690,1271.3,USD,877197.0,cancelled,Dennis Inc,South Korea,60.1,AUTO-Community-103,Automotive Parts,,,,2025-09,25.6,0.077,False
PO000017,SUP0032,PRD0091,2026-08-22,285,92.45,USD,26348.25,fulfilled,"Lynch, Hernandez and Farmer",Vietnam,57.2,FOOD-Some-91,Food & Beverage,2026-08-29,overdue,,2026-08,45.2,0.147,False
PO000018,SUP0007,PRD0010,2024-12-08,134,6299.87,USD,844182.58,fulfilled,Ramirez-Lewis,South Korea,49.8,CHEM-Account-10,Chemicals,2024-12-18,paid,2024-12-29,2024-12,21.1,0.079,False
PO000019,SUP0021,PRD0064,2025-10-31,188,1543.56,USD,290189.28,fulfilled,"Ellis, Baker and Wright",India,80.5,AUTO-Energy-64,Automotive Parts,2025-11-02,pending,,2025-10,38.7,0.131,False
PO000020,SUP0031,PRD0040,2025-07-29,99,2.32,USD,229.68,fulfilled,Harrell LLC,Brazil,87.2,FURN-Investment-40,Furniture,2025-08-03,pending,,2025-07,50.3,0.167,False
PO000021,SUP0029,PRD0036,2026-03-01,197,2.31,USD,455.07,fulfilled,Chavez Ltd,Poland,66.3,ELEC-Eight-36,Electronics,2026-03-07,pending,,2026-03,19.5,0.073,False
PO000022,SUP0037,PRD0016,2026-06-02,199,309.28,USD,61546.72,fulfilled,"Cannon, Anderson and Alvarez",United States,65.1,CHEM-Author-16,Chemicals,2026-06-15,paid,2026-07-06,2026-06,21.7,0.029,False
PO000023,SUP0026,PRD0058,2026-08-31,618,2076.11,USD,1283035.98,open,James-Ferrell,Egypt,85.3,AUTO-Interesting-58,Automotive Parts,2026-09-12,paid,2026-10-01,2026-08,63.3,0.217,False
PO000024,SUP0006,PRD0013,2025-07-11,178,2.48,USD,441.44,fulfilled,Blake and Sons,China,58.0,CHEM-Program-13,Chemicals,2025-07-13,paid,2025-08-20,2025-07,23.1,0.07,False
PO000025,SUP0008,PRD0055,2025-05-09,393,11.89,USD,4672.77,open,Davis Inc,Pakistan,69.7,FURN-Race-55,Furniture,2025-05-18,paid,2025-06-03,2025-05,63.8,0.268,False
PO000026,SUP0031,PRD0045,2026-07-16,414,208.01,USD,86116.14,open,Harrell LLC,Brazil,87.2,CHEM-Lawyer-45,Chemicals,2026-07-29,paid,2026-08-14,2026-07,48.2,0.19,False
PO000027,SUP0013,PRD0028,2026-02-16,866,436.82,USD,378286.12,fulfilled,Delacruz Group,Germany,77.3,AUTO-Notice-28,Automotive Parts,2026-02-25,paid,2026-03-12,2026-02,12.2,0.038,False
PO000028,SUP0021,PRD0041,2025-03-23,43,809.42,USD,34805.06,fulfilled,"Ellis, Baker and Wright",India,80.5,PACK-Customer-41,Packaging,2025-03-30,paid,2025-04-21,2025-03,29.9,0.104,False
PO000029,SUP0021,PRD0112,2025-03-25,470,3.85,USD,1809.5,fulfilled,"Ellis, Baker and Wright",India,80.5,FURN-Feeling-112,Furniture,2025-04-04,paid,2025-05-03,2025-03,29.9,0.104,False
PO000030,SUP0005,PRD0117,2025-10-16,107,15.05,USD,1610.35,fulfilled,Cole LLC,Mexico,58.0,CHEM-Only-117,Chemicals,2025-10-21,paid,2025-10-26,2025-10,32.5,0.11,False
PO000031,SUP0036,PRD0023,2025-09-26,72,2732.09,USD,196710.48,fulfilled,Dennis Inc,South Korea,60.1,MACH-Economy-23,Machinery,2025-10-09,pending,,2025-09,25.6,0.077,False
PO000032,SUP0029,PRD0141,2026-05-27,624,213.31,USD,133105.44,cancelled,Chavez Ltd,Poland,66.3,CHEM-Art-141,Chemicals,,,,2026-05,27.9,0.077,False
PO000033,SUP0021,PRD0048,2026-08-04,149,5.76,USD,858.24,fulfilled,"Ellis, Baker and Wright",India,80.5,FOOD-Item-48,Food & Beverage,2026-08-05,paid,2026-08-11,2026-08,39.2,0.102,False
PO000034,SUP0017,PRD0083,2025-07-17,61,91.88,USD,5604.68,open,"Hawkins, Cohen and Cameron",Nigeria,42.8,TEXT-Billion-83,Textiles,2025-07-29,paid,2025-08-29,2025-07,67.7,0.288,False
PO000035,SUP0015,PRD0125,2026-02-04,222,306.9,USD,68131.8,fulfilled,"Zuniga, Wong and Lynch",India,76.1,TEXT-Article-125,Textiles,2026-02-09,pending,,2026-02,43.0,0.103,False
PO000036,SUP0014,PRD0079,2026-04-19,187,19.49,USD,3644.63,fulfilled,"Flowers, Martin and Kelly",United States,46.7,FOOD-System-79,Food & Beverage,2026-05-01,overdue,,2026-04,11.1,0.042,False
PO000037,SUP0036,PRD0016,2026-02-17,699,1542.83,USD,1078438.17,fulfilled,Dennis Inc,South Korea,60.1,CHEM-Author-16,Chemicals,2026-02-22,paid,2026-03-26,2026-02,21.2,0.077,False
PO000038,SUP0029,PRD0035,2026-05-31,712,1495.5,USD,1064796.0,fulfilled,Chavez Ltd,Poland,66.3,MACH-Material-35,Machinery,2026-06-03,paid,2026-06-30,2026-05,27.9,0.077,False
PO000039,SUP0009,PRD0082,2025-10-21,377,113.18,USD,42668.86,fulfilled,Munoz-Roman,United States,66.0,AUTO-Oil-82,Automotive Parts,2025-10-30,paid,2025-11-16,2025-10,11.7,0.021,False
PO000040,SUP0035,PRD0142,2024-09-19,81,2.34,USD,189.54,cancelled,Allen PLC,Brazil,54.5,TEXT-Movie-142,Textiles,,,,2024-09,,,
PO000041,SUP0021,PRD0004,2026-08-10,320,937.83,USD,300105.6,open,"Ellis, Baker and Wright",India,80.5,FOOD-Against-4,Food & Beverage,2026-08-11,overdue,,2026-08,39.2,0.102,False
PO000042,SUP0002,PRD0081,2025-07-29,465,306.77,USD,142648.05,fulfilled,Rhodes PLC,Germany,87.8,PACK-Total-81,Packaging,2025-08-12,overdue,,2025-07,12.5,0.035,False
PO000043,SUP0036,PRD0048,2025-03-19,154,21.12,USD,3252.48,fulfilled,Dennis Inc,South Korea,60.1,FOOD-Item-48,Food & Beverage,2025-03-26,paid,2025-04-02,2025-03,27.0,0.071,False
PO000044,SUP0024,PRD0020,2025-06-07,343,27.38,USD,9391.34,fulfilled,Campos Inc,Mexico,79.6,FOOD-Give-20,Food & Beverage,2025-06-20,paid,2025-07-29,2025-06,37.7,0.13,False
PO000045,SUP0031,PRD0033,2024-09-16,40,10.96,USD,438.4,fulfilled,Harrell LLC,Brazil,87.2,PACK-Own-33,Packaging,2024-09-18,paid,2024-10-21,2024-09,,,
PO000046,SUP0020,PRD0141,2024-10-30,566,346.57,USD,196158.62,fulfilled,Lewis-Porter,Pakistan,59.2,CHEM-Art-141,Chemicals,2024-11-09,paid,2024-11-28,2024-10,63.3,0.232,False
PO000047,SUP0020,PRD0060,2026-06-15,383,152.1,USD,58254.3,fulfilled,Lewis-Porter,Pakistan,59.2,TEXT-Group-60,Textiles,2026-06-23,paid,2026-07-23,2026-06,67.4,0.376,False
PO000048,SUP0038,PRD0072,2024-11-03,432,496.01,USD,214276.32,cancelled,Rose-Obrien,South Africa,61.5,TEXT-Family-72,Textiles,,,,2024-11,49.7,0.162,False
PO000049,SUP0001,PRD0003,2026-04-20,25,2.31,USD,57.75,open,"Rodriguez, Figueroa and Sanchez",South Korea,74.7,ELEC-Ground-3,Electronics,2026-04-28,paid,2026-06-03,2026-04,15.1,0.06,False
PO000050,SUP0025,PRD0132,2026-05-25,30,498.15,USD,14944.5,fulfilled,Conner Group,Bangladesh,77.2,CHEM-Art-132,Chemicals,2026-06-03,paid,2026-06-27,2026-05,51.6,0.176,False
PO000051,SUP0008,PRD0075,2024-11-02,167,499.01,USD,83334.67,fulfilled,Davis Inc,Pakistan,69.7,TEXT-Two-75,Textiles,2024-11-09,overdue,,2024-11,59.6,0.179,False
PO000052,SUP0035,PRD0038,2026-09-03,1615,2.56,USD,4134.4,cancelled,Allen PLC,Brazil,54.5,ELEC-Material-38,Electronics,,,,2026-09,52.4,0.146,False
PO000053,SUP0032,PRD0064,2025-06-18,112,1529.4,USD,171292.8,fulfilled,"Lynch, Hernandez and Farmer",Vietnam,57.2,AUTO-Energy-64,Automotive Parts,2025-06-30,paid,2025-07-14,2025-06,38.4,0.093,False
PO000054,SUP0030,PRD0070,2024-10-13,171,1576.06,USD,269506.26,fulfilled,Stanton-Gill,Indonesia,60.5,PACK-Knowledge-70,Packaging,2024-10-16,paid,2024-10-29,2024-10,45.8,0.054,False
PO000055,SUP0024,PRD0066,2025-04-28,69,7.62,USD,525.78,fulfilled,Campos Inc,Mexico,79.6,TEXT-Customer-66,Textiles,2025-05-11,paid,2025-06-12,2025-04,45.0,0.168,False
PO000056,SUP0024,PRD0134,2026-03-29,99,2.4,USD,237.6,fulfilled,Campos Inc,Mexico,79.6,FOOD-Pattern-134,Food & Beverage,2026-04-11,paid,2026-04-18,2026-03,42.9,0.12,False
PO000057,SUP0034,PRD0087,2025-12-20,769,4312.61,USD,3316397.09,fulfilled,Koch-Decker,India,69.9,MACH-Think-87,Machinery,2025-12-27,pending,,2025-12,37.0,0.11,False
PO000058,SUP0006,PRD0095,2026-04-23,216,3.26,USD,704.16,fulfilled,Blake and Sons,China,58.0,PACK-Investment-95,Packaging,2026-05-04,pending,,2026-04,27.5,0.096,False
PO000059,SUP0001,PRD0034,2025-11-17,226,1937.08,USD,437780.08,fulfilled,"Rodriguez, Figueroa and Sanchez",South Korea,74.7,CHEM-Part-34,Chemicals,2025-12-01,pending,,2025-11,26.0,0.073,False
PO000060,SUP0013,PRD0110,2025-05-19,109,91.11,USD,9930.99,fulfilled,Delacruz Group,Germany,77.3,CHEM-Still-110,Chemicals,2025-05-31,paid,2025-06-24,2025-05,11.2,0.028,False
PO000061,SUP0040,PRD0120,2025-05-06,34,28.55,USD,970.7,fulfilled,"Santos, Kim and Holmes",Turkey,71.1,MACH-Message-120,Machinery,2025-05-18,paid,2025-06-05,2025-05,51.0,0.243,False
PO000062,SUP0022,PRD0057,2025-09-29,627,1036.85,USD,650104.95,fulfilled,Burgess-Patterson,Pakistan,79.0,CHEM-Ask-57,Chemicals,2025-10-12,paid,2025-11-24,2025-09,69.5,0.302,False
PO000063,SUP0017,PRD0074,2026-06-07,125,1165.16,USD,145645.0,fulfilled,"Hawkins, Cohen and Cameron",Nigeria,42.8,MACH-Enjoy-74,Machinery,2026-06-17,paid,2026-07-06,2026-06,69.0,0.224,False
PO000064,SUP0028,PRD0078,2026-06-14,733,18.94,USD,13883.02,fulfilled,"Potter, Mack and Peterson",Germany,88.1,AUTO-Level-78,Automotive Parts,2026-06-23,paid,2026-07-25,2026-06,16.3,0.035,False
PO000065,SUP0020,PRD0115,2025-10-27,314,1013.82,USD,318339.48,fulfilled,Lewis-Porter,Pakistan,59.2,FOOD-Side-115,Food & Beverage,2025-11-06,paid,2025-12-15,2025-10,63.5,0.237,False
PO000066,SUP0004,PRD0144,2026-07-14,316,828.7,USD,261869.2,fulfilled,"Johnson, Gonzalez and Santos",Mexico,76.5,FURN-Today-144,Furniture,2026-07-21,paid,2026-08-25,2026-07,36.7,0.112,False
PO000067,SUP0033,PRD0028,2025-01-05,36,397.48,USD,14309.28,fulfilled,"Sellers, George and Burns",China,78.7,AUTO-Notice-28,Automotive Parts,2025-01-19,pending,,2025-01,26.1,0.085,False
PO000068,SUP0032,PRD0124,2026-06-09,369,372.3,USD,137378.7,fulfilled,"Lynch, Hernandez and Farmer",Vietnam,57.2,ELEC-Director-124,Electronics,2026-06-13,paid,2026-06-26,2026-06,45.6,0.092,False
PO000069,SUP0029,PRD0094,2025-08-20,910,41.95,USD,38174.5,cancelled,Chavez Ltd,Poland,66.3,MACH-Compare-94,Machinery,,,,2025-08,30.2,0.115,False
PO000070,SUP0006,PRD0001,2024-10-26,25,2.69,USD,67.25,fulfilled,Blake and Sons,China,58.0,MACH-Down-1,Machinery,2024-10-30,pending,,2024-10,31.4,0.103,False
PO000071,SUP0029,PRD0144,2026-01-02,478,6.95,USD,3322.1,fulfilled,Chavez Ltd,Poland,66.3,FURN-Today-144,Furniture,2026-01-10,overdue,,2026-01,29.2,0.105,False
PO000072,SUP0030,PRD0095,2025-05-16,392,1135.26,USD,445021.92,fulfilled,Stanton-Gill,Indonesia,60.5,PACK-Investment-95,Packaging,2025-05-20,paid,2025-06-01,2025-05,44.2,0.119,False
PO000073,SUP0032,PRD0038,2025-09-07,472,26.27,USD,12399.44,open,"Lynch, Hernandez and Farmer",Vietnam,57.2,ELEC-Material-38,Electronics,2025-09-09,pending,,2025-09,51.4,0.106,False
PO000074,SUP0012,PRD0078,2026-01-15,196,31.64,USD,6201.44,fulfilled,Stanley LLC,Japan,60.6,AUTO-Level-78,Automotive Parts,2026-01-18,paid,2026-02-03,2026-01,21.6,0.072,False
PO000075,SUP0029,PRD0051,2026-02-08,241,2.39,USD,575.99,fulfilled,Chavez Ltd,Poland,66.3,AUTO-Shoulder-51,Automotive Parts,2026-02-16,paid,2026-03-15,2026-02,30.8,0.089,False
PO000076,SUP0004,PRD0040,2026-02-02,241,375.18,USD,90418.38,fulfilled,"Johnson, Gonzalez and Santos",Mexico,76.5,FURN-Investment-40,Furniture,2026-02-13,paid,2026-03-06,2026-02,43.0,0.144,False
PO000077,SUP0015,PRD0013,2026-03-01,133,683.08,USD,90849.64,fulfilled,"Zuniga, Wong and Lynch",India,76.1,CHEM-Program-13,Chemicals,2026-03-07,pending,,2026-03,38.6,0.115,False
PO000078,SUP0018,PRD0043,2025-02-14,553,805.63,USD,445513.39,fulfilled,Underwood LLC,Philippines,54.2,CHEM-Bill-43,Chemicals,2025-02-27,pending,,2025-02,41.1,0.126,False
PO000079,SUP0037,PRD0133,2026-04-17,534,60.75,USD,32440.5,cancelled,"Cannon, Anderson and Alvarez",United States,65.1,PACK-Apply-133,Packaging,,,,2026-04,15.1,0.033,False
PO000080,SUP0007,PRD0005,2025-05-13,26,216.36,USD,5625.36,open,Ramirez-Lewis,South Korea,49.8,TEXT-Per-5,Textiles,2025-05-26,paid,2025-06-30,2025-05,24.5,0.103,False
PO000081,SUP0039,PRD0133,2025-01-14,810,12.66,USD,10254.6,open,"Campos, Vaughn and Marquez",South Korea,62.6,PACK-Apply-133,Packaging,2025-01-22,paid,2025-01-27,2025-01,20.5,0.094,False
PO000082,SUP0024,PRD0016,2025-08-07,95,28.79,USD,2735.05,fulfilled,Campos Inc,Mexico,79.6,CHEM-Author-16,Chemicals,2025-08-10,paid,2025-09-11,2025-08,38.8,0.115,False
PO000083,SUP0035,PRD0059,2025-01-13,373,2.32,USD,865.36,fulfilled,Allen PLC,Brazil,54.5,FOOD-Should-59,Food & Beverage,2025-01-15,paid,2025-02-17,2025-01,53.3,0.132,False
PO000084,SUP0032,PRD0110,2026-06-25,182,841.67,USD,153183.94,fulfilled,"Lynch, Hernandez and Farmer",Vietnam,57.2,CHEM-Still-110,Chemicals,2026-07-06,paid,2026-08-07,2026-06,45.6,0.092,False
