snapshot_id,warehouse_node_id,product_id,snapshot_date,stock_qty,reorder_point,safety_stock_x,warehouse_name,warehouse_country,product_name,category,unit_cost,inventory_value,is_below_reorder_point,reorder_point_model,safety_stock_y,model_type,reorder_point_placeholder,reorder_point_change
INVSNP0000001,WH0001,PRD0018,2024-10-01,552,150,60,Germany Warehouse 1,Germany,FURN-Almost-18,Furniture,321.89,177683.28,False,173.7,73.6,prophet,150,23.69999999999999
INVSNP0000002,WH0001,PRD0018,2024-11-01,560,150,60,Germany Warehouse 1,Germany,FURN-Almost-18,Furniture,321.89,180258.4,False,173.7,73.6,prophet,150,23.69999999999999
INVSNP0000003,WH0001,PRD0018,2024-12-01,582,150,60,Germany Warehouse 1,Germany,FURN-Almost-18,Furniture,321.89,187339.98,False,173.7,73.6,prophet,150,23.69999999999999
INVSNP0000004,WH0001,PRD0018,2025-01-01,574,150,60,Germany Warehouse 1,Germany,FURN-Almost-18,Furniture,321.89,184764.86,False,173.7,73.6,prophet,150,23.69999999999999
INVSNP0000005,WH0001,PRD0018,2025-02-01,668,150,60,Germany Warehouse 1,Germany,FURN-Almost-18,Furniture,321.89,215022.52,False,173.7,73.6,prophet,150,23.69999999999999
INVSNP0000006,WH0001,PRD0018,2025-03-01,640,150,60,Germany Warehouse 1,Germany,FURN-Almost-18,Furniture,321.89,206009.6,False,173.7,73.6,prophet,150,23.69999999999999
INVSNP0000007,WH0001,PRD0018,2025-04-01,698,150,60,Germany Warehouse 1,Germany,FURN-Almost-18,Furniture,321.89,224679.22,False,173.7,73.6,prophet,150,23.69999999999999
INVSNP0000008,WH0001,PRD0018,2025-05-01,724,150,60,Germany Warehouse 1,Germany,FURN-Almost-18,Furniture,321.89,233048.36,False,173.7,73.6,prophet,150,23.69999999999999
INVSNP0000009,WH0001,PRD0018,2025-06-01,640,150,60,Germany Warehouse 1,Germany,FURN-Almost-18,Furniture,321.89,206009.6,False,173.7,73.6,prophet,150,23.69999999999999
INVSNP0000010,WH0001,PRD0018,2025-07-01,443,150,60,Germany Warehouse 1,Germany,FURN-Almost-18,Furniture,321.89,142597.27,False,173.7,73.6,prophet,150,23.69999999999999
