dc,customer,mode,recommended_monthly_quantity,cost_per_unit,recommended_monthly_cost
DC0005,CUST0001,air,239.8,312.034,74813.98
DC0001,CUST0001,ocean,409.0,49.065,20068.39
DC0005,CUST0001,ocean,376.0,41.605,15643.48
DC0006,CUST0001,ocean,361.0,41.73,15064.53
DC0001,CUST0002,road,564.0,7.331,4134.68
DC0006,CUST0002,ocean,220.0,17.066,3754.69
DC0001,CUST0002,rail,308.0,4.073,1254.48
DC0004,CUST0003,air,172.2,363.785,62638.45
DC0006,CUST0003,ocean,505.0,75.372,38062.86
DC0004,CUST0003,ocean,570.0,48.505,27647.85
DC0005,CUST0003,ocean,138.4,75.315,10425.53
DC0006,CUST0004,air,124.1,303.421,37662.71
DC0006,CUST0004,ocean,428.0,40.456,17315.17
DC0005,CUST0004,ocean,428.0,40.316,17255.25
DC0001,CUST0004,ocean,271.2,48.902,13263.25
DC0004,CUST0005,rail,855.0,9.401,8037.85
DC0004,CUST0005,road,456.0,16.921,7715.98
DC0005,CUST0005,ocean,141.4,30.408,4299.91
DC0005,CUST0006,ocean,426.5,31.781,13556.01
DC0004,CUST0006,rail,440.0,16.839,7409.16
DC0004,CUST0006,ocean,568.0,10.103,5738.5
DC0002,CUST0007,ocean,467.0,27.49,12837.83
DC0003,CUST0007,ocean,470.5,26.769,12594.72
DC0003,CUST0007,rail,179.9,44.614,8027.11
DC0005,CUST0008,ocean,521.0,33.019,17202.9
DC0004,CUST0008,rail,438.0,16.433,7197.65
DC0004,CUST0008,ocean,437.0,9.86,4308.82
DC0006,CUST0008,ocean,105.1,33.195,3489.82
DC0005,CUST0009,air,131.0,309.407,40532.32
DC0006,CUST0009,ocean,481.0,41.397,19911.96
DC0005,CUST0009,ocean,348.0,41.254,14356.39
DC0001,CUST0009,ocean,157.4,49.942,7862.01
DC0006,CUST0009,air,13.7,310.477,4256.23
DC0004,CUST0010,air,165.2,294.104,48588.43
DC0005,CUST0010,ocean,494.0,63.532,31384.81
DC0004,CUST0010,ocean,521.0,39.214,20430.49
DC0006,CUST0010,ocean,157.7,63.547,10020.42
DC0004,CUST0011,road,643.0,8.164,5249.45
DC0005,CUST0011,ocean,119.9,30.058,3603.14
DC0004,CUST0011,rail,466.0,4.536,2113.78
DC0004,CUST0012,air,154.0,412.92,63591.67
DC0005,CUST0012,ocean,581.0,70.821,41147.0
DC0004,CUST0012,ocean,513.0,55.056,28243.73
DC0006,CUST0012,ocean,150.5,71.05,10691.54
DC0006,CUST0013,ocean,477.1,15.562,7424.06
DC0001,CUST0013,road,551.0,5.786,3188.09
DC0001,CUST0013,rail,535.0,3.214,1719.49
DC0002,CUST0014,ocean,597.3,30.392,18154.3
DC0003,CUST0014,ocean,574.0,29.6,16990.4
DC0003,CUST0014,rail,126.6,49.333,6245.32
DC0004,CUST0015,road,503.0,18.154,9131.46
DC0004,CUST0015,rail,488.0,10.086,4921.97
DC0005,CUST0015,ocean,15.1,25.699,388.96
DC0005,CUST0016,ocean,537.3,31.231,16781.96
DC0004,CUST0016,road,426.0,10.695,4556.07
DC0004,CUST0016,rail,242.0,5.941,1437.72
DC0004,CUST0017,air,182.3,357.749,65232.95
DC0006,CUST0017,ocean,390.0,74.82,29179.8
DC0005,CUST0017,ocean,272.0,74.754,20333.09
DC0004,CUST0017,ocean,356.0,47.7,16981.2
DC0001,CUST0017,ocean,58.8,80.369,4726.04
DC0004,CUST0018,road,589.7,21.802,12855.76
DC0004,CUST0018,rail,764.0,12.112,9253.57
DC0005,CUST0019,ocean,381.0,23.265,8863.97
DC0004,CUST0019,road,287.0,23.009,6603.58
DC0004,CUST0019,rail,294.0,12.783,3758.2
DC0006,CUST0019,ocean,125.1,23.433,2930.58
DC0005,CUST0020,ocean,356.0,29.351,10448.96
DC0006,CUST0020,ocean,124.1,29.464,3655.61
DC0004,CUST0020,road,314.0,5.571,1749.29
DC0004,CUST0020,rail,367.0,3.095,1135.87
DC0005,CUST0021,ocean,300.0,32.077,9622.4
DC0004,CUST0021,rail,544.0,17.256,9387.26
DC0004,CUST0021,ocean,547.0,10.354,5663.64
DC0004,CUST0022,air,167.3,300.44,50260.08
DC0006,CUST0022,ocean,426.0,64.567,27505.54
DC0005,CUST0022,ocean,232.3,64.55,14992.36
DC0004,CUST0022,ocean,365.0,40.059,14621.53
DC0003,CUST0023,ocean,616.0,23.905,14725.48
DC0003,CUST0023,rail,341.0,39.841,13585.78
DC0002,CUST0023,ocean,313.0,24.269,7596.2
DC0002,CUST0023,rail,79.1,40.448,3199.0
DC0002,CUST0024,ocean,442.0,30.673,13557.47
DC0003,CUST0024,ocean,403.0,29.905,12051.72
DC0001,CUST0024,ocean,267.9,34.986,9371.96
DC0003,CUST0024,rail,75.1,49.841,3743.68
DC0005,CUST0025,ocean,428.3,28.588,12244.54
DC0004,CUST0025,road,556.0,6.224,3460.54
DC0004,CUST0025,rail,347.0,3.458,1199.93
DC0004,CUST0026,rail,907.0,9.879,8960.25
DC0004,CUST0026,road,287.4,17.783,5110.19
DC0005,CUST0027,ocean,455.0,25.467,11587.48
DC0004,CUST0027,road,541.0,19.115,10341.21
DC0004,CUST0027,rail,607.0,10.619,6445.73
DC0006,CUST0027,ocean,16.3,25.632,416.54
DC0003,CUST0028,rail,306.0,42.71,13069.26
DC0002,CUST0028,ocean,472.0,26.03,12286.16
DC0003,CUST0028,ocean,363.0,25.626,9302.24
DC0002,CUST0028,rail,82.8,43.383,3592.08
DC0005,CUST0029,ocean,414.0,34.84,14423.76
DC0004,CUST0029,road,539.0,22.224,11978.74
DC0006,CUST0029,ocean,307.9,34.942,10757.36
DC0004,CUST0029,rail,330.0,12.347,4074.51
DC0005,CUST0030,ocean,352.8,33.522,11827.34
DC0004,CUST0030,road,478.0,16.673,7969.69
DC0004,CUST0030,rail,562.0,9.263,5205.81
