product_id,model_type,n_months_history,forecast_next_month_demand,daily_demand_forecast,safety_stock,reorder_point_model,backtest_mae
PRD0001,prophet,13,681.8,22.73,48.1,293.1,314.5
PRD0002,prophet,17,314.9,10.5,36.8,150.0,211.5
PRD0003,prophet,16,33.1,1.1,64.5,76.5,287.2
PRD0004,prophet,16,343.4,11.45,51.1,174.6,201.4
PRD0005,prophet,17,616.3,20.54,56.1,277.7,361.8
PRD0006,prophet,14,365.5,12.18,71.8,203.2,634.3
PRD0007,prophet,18,361.8,12.06,28.8,158.8,47.2
PRD0008,prophet,14,387.9,12.93,61.8,201.2,198.2
PRD0009,prophet,14,476.9,15.9,51.6,223.0,331.6
PRD0010,prophet,16,287.0,9.57,51.8,155.0,276.3
PRD0011,prophet,16,472.4,15.75,64.4,234.2,281.5
PRD0012,prophet,17,439.3,14.64,33.3,191.2,220.4
PRD0013,prophet,15,333.6,11.12,30.1,150.0,148.4
PRD0014,prophet,17,549.1,18.3,52.9,250.2,168.2
PRD0015,prophet,14,372.3,12.41,42.5,176.3,108.2
PRD0016,prophet,17,226.6,7.55,79.7,161.1,333.3
PRD0017,prophet,19,400.3,13.34,67.3,211.2,136.4
PRD0018,prophet,13,278.3,9.28,73.6,173.7,322.8
PRD0019,prophet,12,830.7,27.69,73.8,372.4,830.2
PRD0020,prophet,12,765.1,25.5,84.3,359.3,641.2
PRD0021,prophet,12,653.3,21.78,28.5,263.3,64.1
PRD0022,prophet,17,542.5,18.08,52.7,247.7,449.4
PRD0023,prophet,17,321.8,10.73,69.4,185.1,151.4
PRD0024,prophet,18,516.1,17.2,33.2,218.7,270.0
PRD0025,prophet,14,283.0,9.43,56.5,158.2,240.6
PRD0026,prophet,14,499.9,16.66,54.0,233.7,316.1
PRD0027,prophet,12,301.6,10.05,48.5,156.9,240.9
PRD0028,prophet,13,740.9,24.7,67.5,333.8,709.8
PRD0029,prophet,17,578.2,19.27,56.9,264.7,419.0
PRD0030,prophet,16,70.6,2.35,57.1,82.5,211.2
PRD0031,prophet,18,581.4,19.38,51.6,260.6,118.5
PRD0032,prophet,15,454.4,15.15,82.3,245.7,382.3
PRD0033,prophet,17,323.7,10.79,30.9,147.3,126.6
PRD0034,prophet,19,492.8,16.43,40.4,217.6,166.6
PRD0035,prophet,16,534.4,17.81,50.2,242.2,444.2
PRD0036,prophet,19,181.9,6.06,44.2,109.6,209.7
PRD0037,prophet,15,251.2,8.37,58.8,149.1,93.4
PRD0038,prophet,18,431.8,14.39,55.6,210.8,272.2
PRD0039,prophet,15,310.5,10.35,79.8,191.4,263.5
PRD0040,prophet,17,267.8,8.93,49.0,145.2,303.6
PRD0041,prophet,16,361.6,12.05,56.0,186.0,297.5
PRD0042,prophet,14,1.2,0.04,48.4,48.9,87.1
PRD0043,prophet,14,520.2,17.34,57.8,244.8,378.0
PRD0044,prophet,18,385.8,12.86,60.6,199.3,489.5
PRD0045,prophet,16,788.9,26.3,43.7,327.2,288.2
PRD0046,prophet,17,487.1,16.24,75.4,250.5,450.3
PRD0047,prophet,15,431.2,14.37,48.0,203.0,291.1
PRD0048,prophet,15,497.3,16.58,50.5,229.2,490.7
PRD0049,prophet,21,208.1,6.94,35.9,110.7,173.6
PRD0050,prophet,16,515.0,17.17,60.9,246.0,215.5
PRD0051,prophet,17,144.9,4.83,44.8,96.9,53.4
PRD0052,prophet,21,416.5,13.88,53.4,203.1,467.2
PRD0053,prophet,17,348.2,11.61,71.1,196.2,197.5
PRD0054,prophet,19,271.8,9.06,46.2,143.9,290.9
PRD0055,prophet,15,508.2,16.94,50.6,233.3,428.5
PRD0056,prophet,13,518.1,17.27,36.4,222.6,189.5
PRD0057,prophet,16,304.6,10.15,40.3,149.8,181.6
PRD0058,prophet,10,1060.2,35.34,76.9,458.0,619.2
PRD0059,prophet,14,375.4,12.51,29.7,164.6,213.6
PRD0060,prophet,15,530.0,17.67,67.5,258.0,468.3
PRD0061,prophet,18,488.2,16.27,42.1,217.6,259.5
PRD0062,prophet,14,310.5,10.35,59.9,171.5,311.7
PRD0063,prophet,13,473.9,15.8,34.6,204.9,182.3
PRD0064,prophet,15,251.7,8.39,31.3,121.8,49.9
PRD0065,prophet,14,394.6,13.15,31.0,172.8,176.3
PRD0066,prophet,17,208.0,6.93,14.8,89.6,105.1
PRD0067,prophet,19,311.2,10.37,30.6,142.4,168.5
PRD0068,prophet,16,307.9,10.26,31.0,141.7,167.2
PRD0069,prophet,15,177.8,5.93,46.5,110.4,63.7
PRD0070,prophet,13,623.5,20.78,86.6,310.7,104.7
PRD0071,prophet,17,484.8,16.16,39.1,213.3,348.1
PRD0072,prophet,11,795.9,26.53,80.6,366.7,371.4
PRD0073,prophet,18,241.1,8.04,65.8,152.5,195.0
PRD0074,prophet,16,326.1,10.87,24.7,141.9,136.2
PRD0075,prophet,17,414.3,13.81,43.9,192.8,265.7
PRD0076,prophet,14,278.6,9.29,84.0,184.2,265.0
PRD0077,prophet,14,723.9,24.13,43.9,304.1,340.0
PRD0078,prophet,18,514.0,17.13,53.0,237.8,222.8
PRD0079,prophet,17,237.4,7.91,50.2,135.5,289.7
PRD0080,prophet,15,460.9,15.36,61.3,227.0,326.4
PRD0081,prophet,15,608.6,20.29,79.3,298.0,292.9
PRD0082,prophet,16,277.9,9.26,52.7,152.6,283.9
PRD0083,prophet,13,592.7,19.76,68.6,281.7,469.8
PRD0084,prophet,18,542.0,18.07,54.6,249.4,287.4
PRD0085,prophet,14,375.5,12.52,35.5,170.4,204.4
PRD0086,prophet,15,328.6,10.95,34.0,152.1,134.8
PRD0087,prophet,16,435.5,14.52,38.0,194.5,159.9
PRD0088,prophet,17,605.3,20.18,54.4,271.9,515.7
PRD0089,prophet,13,403.7,13.46,42.2,187.3,271.2
PRD0090,prophet,15,299.5,9.98,31.3,139.0,321.3
PRD0091,prophet,14,428.5,14.28,34.3,188.3,320.7
PRD0092,prophet,16,510.6,17.02,45.6,229.1,384.2
PRD0093,prophet,15,300.7,10.02,97.0,205.1,291.5
PRD0094,prophet,15,171.9,5.73,32.3,94.1,115.4
PRD0095,prophet,15,169.4,5.65,65.2,126.1,271.1
PRD0096,prophet,19,348.1,11.6,44.3,169.4,254.3
PRD0097,prophet,16,440.3,14.68,75.5,233.7,590.5
PRD0098,prophet,17,415.1,13.84,53.3,202.5,158.1
PRD0099,prophet,12,242.6,8.09,46.4,133.6,214.5
PRD0100,prophet,15,6.4,0.21,111.2,113.5,459.2
PRD0101,prophet,17,610.2,20.34,52.2,271.6,163.8
PRD0102,prophet,15,355.0,11.83,46.1,173.7,231.4
PRD0103,prophet,16,587.4,19.58,74.5,285.7,330.3
PRD0104,prophet,14,199.9,6.66,33.4,105.3,121.4
PRD0105,prophet,16,361.3,12.04,50.6,180.4,179.5
PRD0106,prophet,17,332.7,11.09,57.8,177.4,309.5
PRD0107,prophet,16,479.8,15.99,57.5,230.0,393.3
PRD0108,prophet,12,373.8,12.46,28.8,163.1,290.5
PRD0109,prophet,18,360.9,12.03,35.5,165.2,310.1
PRD0110,prophet,17,292.4,9.75,56.0,161.1,216.2
PRD0111,prophet,17,387.0,12.9,38.3,177.4,209.0
PRD0112,prophet,14,310.2,10.34,52.6,164.1,182.4
PRD0113,prophet,14,432.1,14.4,47.2,202.5,354.6
PRD0114,prophet,19,441.9,14.73,58.4,217.2,404.6
PRD0115,prophet,15,400.0,13.33,43.5,187.2,253.8
PRD0116,prophet,18,330.6,11.02,35.7,154.5,192.9
PRD0117,prophet,20,486.7,16.22,80.1,255.0,178.8
PRD0118,prophet,17,349.0,11.63,50.5,175.9,95.5
PRD0119,prophet,20,404.8,13.49,38.3,183.8,269.9
PRD0120,prophet,18,259.2,8.64,47.3,140.4,237.6
PRD0121,prophet,17,704.7,23.49,68.5,321.8,534.8
PRD0122,prophet,21,312.0,10.4,52.8,165.0,83.1
PRD0123,prophet,11,309.4,10.31,30.9,142.1,286.4
PRD0124,prophet,15,433.9,14.46,40.9,196.9,162.5
PRD0125,prophet,18,622.1,20.74,97.7,321.3,453.9
PRD0126,prophet,19,291.8,9.73,68.0,172.9,48.1
PRD0127,prophet,16,520.5,17.35,59.8,246.9,274.9
PRD0128,prophet,18,385.5,12.85,64.8,203.4,668.7
PRD0129,prophet,11,617.5,20.58,80.8,302.7,584.8
PRD0130,prophet,17,253.9,8.46,41.5,132.8,215.1
PRD0131,prophet,10,640.1,21.34,39.7,269.8,145.6
PRD0132,prophet,12,262.8,8.76,37.2,131.7,126.9
PRD0133,prophet,13,363.0,12.1,43.0,173.5,111.2
PRD0134,prophet,15,584.0,19.47,70.6,280.5,373.8
PRD0135,prophet,17,669.0,22.3,57.2,297.7,326.0
PRD0136,prophet,14,455.6,15.19,45.2,209.0,426.4
PRD0137,prophet,20,344.0,11.47,28.1,151.8,164.5
PRD0138,prophet,15,190.9,6.36,23.7,92.3,59.7
PRD0139,prophet,15,663.9,22.13,75.9,314.5,166.5
PRD0140,prophet,13,278.4,9.28,30.7,130.8,125.8
PRD0141,prophet,15,326.4,10.88,39.8,157.1,208.7
PRD0142,prophet,14,493.4,16.45,59.0,236.3,403.2
PRD0143,prophet,16,254.7,8.49,33.2,124.8,137.6
PRD0144,prophet,16,215.4,7.18,67.5,145.0,187.0
PRD0145,prophet,14,340.4,11.35,34.2,156.6,200.8
PRD0146,prophet,18,401.3,13.38,49.5,193.8,284.4
PRD0147,prophet,20,326.8,10.89,41.9,159.3,264.7
PRD0148,prophet,16,649.3,21.64,48.6,282.0,346.9
PRD0149,prophet,17,309.5,10.32,34.8,146.1,129.2
PRD0150,prophet,16,299.2,9.97,45.3,152.9,173.6
