snapshot_id,warehouse_node_id,product_id,snapshot_date,stock_qty,reorder_point,safety_stock
INVSNP0000001,WH0001,PRD0018,2024-10-01,552,150,60
INVSNP0000002,WH0001,PRD0018,2024-11-01,560,150,60
INVSNP0000003,WH0001,PRD0018,2024-12-01,582,150,60
INVSNP0000004,WH0001,PRD0018,2025-01-01,574,150,60
INVSNP0000005,WH0001,PRD0018,2025-02-01,668,150,60
INVSNP0000006,WH0001,PRD0018,2025-03-01,640,150,60
INVSNP0000007,WH0001,PRD0018,2025-04-01,698,150,60
INVSNP0000008,WH0001,PRD0018,2025-05-01,724,150,60
INVSNP0000009,WH0001,PRD0018,2025-06-01,640,150,60
INVSNP0000010,WH0001,PRD0018,2025-07-01,443,150,60
INVSNP0000011,WH0001,PRD0018,2025-08-01,573,150,60
INVSNP0000012,WH0001,PRD0018,2025-09-01,540,150,60
INVSNP0000013,WH0001,PRD0018,2025-10-01,577,150,60
INVSNP0000014,WH0001,PRD0018,2025-11-01,530,150,60
INVSNP0000015,WH0001,PRD0018,2025-12-01,844,150,60
INVSNP0000016,WH0001,PRD0018,2026-01-01,406,150,60
INVSNP0000017,WH0001,PRD0018,2026-02-01,632,150,60
INVSNP0000018,WH0001,PRD0018,2026-03-01,605,150,60
INVSNP0000019,WH0001,PRD0018,2026-04-01,696,150,60
INVSNP0000020,WH0001,PRD0018,2026-05-01,669,150,60
INVSNP0000021,WH0001,PRD0018,2026-06-01,617,150,60
INVSNP0000022,WH0001,PRD0018,2026-07-01,688,150,60
INVSNP0000023,WH0001,PRD0018,2026-08-01,520,150,60
INVSNP0000024,WH0001,PRD0018,2026-09-01,595,150,60
INVSNP0000025,WH0001,PRD0022,2024-10-01,599,177,71
INVSNP0000026,WH0001,PRD0022,2024-11-01,799,177,71
INVSNP0000027,WH0001,PRD0022,2024-12-01,610,177,71
INVSNP0000028,WH0001,PRD0022,2025-01-01,737,177,71
INVSNP0000029,WH0001,PRD0022,2025-02-01,731,177,71
INVSNP0000030,WH0001,PRD0022,2025-03-01,729,177,71
INVSNP0000031,WH0001,PRD0022,2025-04-01,608,177,71
INVSNP0000032,WH0001,PRD0022,2025-05-01,550,177,71
INVSNP0000033,WH0001,PRD0022,2025-06-01,574,177,71
