invoice_id,po_id,invoice_date,amount,payment_status,payment_date
INV000001,PO000001,2025-10-05,1001.52,paid,2025-11-06
INV000002,PO000002,2024-10-01,173436.18,pending,
INV000003,PO000003,2024-12-04,2457.0,pending,
INV000004,PO000004,2026-08-18,138842.24,paid,2026-08-25
INV000005,PO000005,2026-06-02,93593.21,paid,2026-06-15
INV000006,PO000006,2026-01-01,26132.6,paid,2026-01-29
INV000007,PO000007,2024-09-22,547390.35,pending,
INV000008,PO000008,2025-08-20,341.77,paid,2025-09-03
INV000009,PO000009,2025-02-21,494380.25,pending,
INV000010,PO000010,2026-06-07,221422.96,paid,2026-06-22
INV000011,PO000011,2025-01-10,56879.1,pending,
INV000012,PO000012,2025-09-08,161198.76,paid,2025-10-21
INV000013,PO000013,2024-10-20,23377.36,pending,
INV000015,PO000015,2026-04-13,13739.52,paid,2026-05-21
INV000017,PO000017,2026-08-29,26348.25,overdue,
INV000018,PO000018,2024-12-18,844182.58,paid,2024-12-29
INV000019,PO000019,2025-11-02,290189.28,pending,
INV000020,PO000020,2025-08-03,229.68,pending,
INV000021,PO000021,2026-03-07,455.07,pending,
INV000022,PO000022,2026-06-15,61546.72,paid,2026-07-06
INV000023,PO000023,2026-09-12,1283035.98,paid,2026-10-01
INV000024,PO000024,2025-07-13,441.44,paid,2025-08-20
INV000025,PO000025,2025-05-18,4672.77,paid,2025-06-03
INV000026,PO000026,2026-07-29,86116.14,paid,2026-08-14
INV000027,PO000027,2026-02-25,378286.12,paid,2026-03-12
INV000028,PO000028,2025-03-30,34805.06,paid,2025-04-21
INV000029,PO000029,2025-04-04,1809.5,paid,2025-05-03
INV000030,PO000030,2025-10-21,1610.35,paid,2025-10-26
INV000031,PO000031,2025-10-09,196710.48,pending,
INV000033,PO000033,2026-08-05,858.24,paid,2026-08-11
INV000034,PO000034,2025-07-29,5604.68,paid,2025-08-29
INV000035,PO000035,2026-02-09,68131.8,pending,
INV000036,PO000036,2026-05-01,3644.63,overdue,
INV000037,PO000037,2026-02-22,1078438.17,paid,2026-03-26
INV000038,PO000038,2026-06-03,1064796.0,paid,2026-06-30
INV000039,PO000039,2025-10-30,42668.86,paid,2025-11-16
INV000041,PO000041,2026-08-11,300105.6,overdue,
INV000042,PO000042,2025-08-12,142648.05,overdue,
INV000043,PO000043,2025-03-26,3252.48,paid,2025-04-02
INV000044,PO000044,2025-06-20,9391.34,paid,2025-07-29
INV000045,PO000045,2024-09-18,438.4,paid,2024-10-21
