edge_id,origin_node_id,dest_node_id,mode,avg_lead_time_days,avg_cost_per_unit,capacity
EDGE00001,DC0001,CUST0001,air,3.2,367.99,467
EDGE00002,DC0001,CUST0001,ocean,20.6,49.065,477
EDGE00003,DC0001,CUST0002,rail,1.3,4.073,308
EDGE00004,DC0001,CUST0002,road,1.0,7.331,564
EDGE00005,DC0001,CUST0003,air,5.1,602.541,770
EDGE00006,DC0001,CUST0003,ocean,31.0,80.339,782
EDGE00007,DC0001,CUST0004,air,3.2,366.763,456
EDGE00008,DC0001,CUST0004,ocean,20.3,48.902,532
EDGE00009,DC0001,CUST0005,air,3.7,327.958,330
EDGE00010,DC0001,CUST0005,ocean,19.0,43.728,579
EDGE00011,DC0001,CUST0006,air,3.0,345.638,441
EDGE00012,DC0001,CUST0006,ocean,19.4,46.085,378
EDGE00013,DC0001,CUST0007,air,2.4,232.758,301
EDGE00014,DC0001,CUST0007,ocean,14.1,31.034,596
EDGE00015,DC0001,CUST0007,rail,8.2,51.724,312
EDGE00016,DC0001,CUST0008,air,3.6,352.996,498
EDGE00017,DC0001,CUST0008,ocean,19.4,47.066,446
EDGE00018,DC0001,CUST0009,air,3.2,374.563,360
EDGE00019,DC0001,CUST0009,ocean,20.7,49.942,608
EDGE00020,DC0001,CUST0010,air,4.3,500.87,223
EDGE00021,DC0001,CUST0010,ocean,26.6,66.783,412
EDGE00022,DC0001,CUST0011,air,3.0,317.941,314
EDGE00023,DC0001,CUST0011,ocean,18.1,42.392,416
EDGE00024,DC0001,CUST0012,air,5.6,647.233,919
EDGE00025,DC0001,CUST0012,ocean,33.9,86.298,442
EDGE00026,DC0001,CUST0013,rail,1.2,3.214,535
EDGE00027,DC0001,CUST0013,road,1.0,5.786,551
EDGE00028,DC0001,CUST0014,air,2.5,267.82,249
EDGE00029,DC0001,CUST0014,ocean,14.9,35.709,600
EDGE00030,DC0001,CUST0014,rail,9.9,59.516,447
EDGE00031,DC0001,CUST0015,air,2.8,295.75,230
EDGE00032,DC0001,CUST0015,ocean,16.2,39.433,393
EDGE00033,DC0001,CUST0016,air,2.7,318.014,422
EDGE00034,DC0001,CUST0016,ocean,19.8,42.402,623
EDGE00035,DC0001,CUST0017,air,5.8,602.765,658
EDGE00036,DC0001,CUST0017,ocean,31.6,80.369,533
EDGE00037,DC0001,CUST0018,air,2.1,283.771,722
EDGE00038,DC0001,CUST0018,ocean,16.8,37.836,518
EDGE00039,DC0001,CUST0019,air,3.0,279.506,474
EDGE00040,DC0001,CUST0019,ocean,16.6,37.267,395
EDGE00041,DC0001,CUST0020,air,2.0,305.268,580
EDGE00042,DC0001,CUST0020,ocean,17.6,40.702,568
EDGE00043,DC0001,CUST0021,air,3.3,347.996,590
EDGE00044,DC0001,CUST0021,ocean,20.5,46.399,497
EDGE00045,DC0001,CUST0022,air,4.8,508.717,304
EDGE00046,DC0001,CUST0022,ocean,27.6,67.829,399
EDGE00047,DC0001,CUST0023,air,3.5,342.426,555
EDGE00048,DC0001,CUST0023,ocean,19.1,45.657,525
EDGE00049,DC0001,CUST0024,air,2.0,262.395,559
EDGE00050,DC0001,CUST0024,ocean,15.8,34.986,522
EDGE00051,DC0001,CUST0024,rail,9.9,58.31,292
EDGE00052,DC0001,CUST0025,air,3.0,297.837,739
EDGE00053,DC0001,CUST0025,ocean,17.3,39.712,684
EDGE00054,DC0001,CUST0026,air,3.4,336.392,323
EDGE00055,DC0001,CUST0026,ocean,18.6,44.852,480
EDGE00056,DC0001,CUST0027,air,2.5,294.6,663
EDGE00057,DC0001,CUST0027,ocean,16.4,39.28,569
EDGE00058,DC0001,CUST0028,air,3.7,355.78,409
EDGE00059,DC0001,CUST0028,ocean,20.3,47.437,434
EDGE00060,DC0001,CUST0029,air,3.5,339.889,499
EDGE00061,DC0001,CUST0029,ocean,20.1,45.319,674
EDGE00062,DC0001,CUST0030,air,3.7,337.775,462
EDGE00063,DC0001,CUST0030,ocean,19.0,45.037,649
EDGE00064,DC0002,CUST0001,air,3.4,401.322,415
EDGE00065,DC0002,CUST0001,ocean,23.0,53.51,650
EDGE00066,DC0002,CUST0002,air,1.5,157.809,471
EDGE00067,DC0002,CUST0002,ocean,11.0,21.041,350
EDGE00068,DC0002,CUST0002,rail,4.8,35.069,407
EDGE00069,DC0002,CUST0003,air,5.8,673.928,538
EDGE00070,DC0002,CUST0003,ocean,35.2,89.857,357
EDGE00071,DC0002,CUST0004,air,3.2,412.27,437
EDGE00072,DC0002,CUST0004,ocean,22.6,54.969,407
EDGE00073,DC0002,CUST0005,air,4.8,488.139,764
EDGE00074,DC0002,CUST0005,ocean,26.4,65.085,719
EDGE00075,DC0002,CUST0006,air,4.5,506.104,437
EDGE00076,DC0002,CUST0006,ocean,28.0,67.481,642
EDGE00077,DC0002,CUST0007,air,2.4,206.177,517
EDGE00078,DC0002,CUST0007,ocean,11.9,27.49,467
EDGE00079,DC0002,CUST0007,rail,8.3,45.817,289
EDGE00080,DC0002,CUST0008,air,4.3,513.558,600
EDGE00081,DC0002,CUST0008,ocean,27.2,68.474,551
EDGE00082,DC0002,CUST0009,air,3.6,419.241,442
EDGE00083,DC0002,CUST0009,ocean,21.9,55.899,644
EDGE00084,DC0002,CUST0010,ocean,30.4,77.633,386
EDGE00085,DC0002,CUST0011,air,4.3,476.618,557
EDGE00086,DC0002,CUST0011,ocean,25.6,63.549,419
EDGE00087,DC0002,CUST0012,air,6.7,751.325,291
EDGE00088,DC0002,CUST0012,ocean,39.7,100.177,570
EDGE00089,DC0002,CUST0013,air,1.6,155.754,376
EDGE00090,DC0002,CUST0013,ocean,10.3,20.767,643
EDGE00091,DC0002,CUST0013,rail,5.4,34.612,607
EDGE00092,DC0002,CUST0014,air,2.4,227.937,827
EDGE00093,DC0002,CUST0014,ocean,13.7,30.392,618
EDGE00094,DC0002,CUST0014,rail,8.8,50.653,589
EDGE00095,DC0002,CUST0015,air,5.0,456.305,383
EDGE00096,DC0002,CUST0015,ocean,24.9,60.841,336
EDGE00097,DC0002,CUST0016,air,4.3,473.682,326
EDGE00098,DC0002,CUST0016,ocean,24.4,63.158,392
EDGE00099,DC0002,CUST0017,air,5.3,680.341,532
EDGE00100,DC0002,CUST0017,ocean,35.1,90.712,742
EDGE00101,DC0002,CUST0018,air,3.0,444.306,280
EDGE00102,DC0002,CUST0018,ocean,24.4,59.241,580
EDGE00103,DC0002,CUST0019,air,3.3,440.015,321
EDGE00104,DC0002,CUST0019,ocean,24.3,58.669,456
EDGE00105,DC0002,CUST0020,air,4.3,461.883,194
EDGE00106,DC0002,CUST0020,ocean,25.7,61.584,274
EDGE00107,DC0002,CUST0021,air,4.8,508.452,524
