product_id,name,category,unit_cost,unit_price
PRD0001,MACH-Down-1,Machinery,1881.79,2986.97
PRD0002,PACK-Attack-2,Packaging,14.47,18.28
PRD0003,ELEC-Ground-3,Electronics,208.95,268.58
PRD0004,FOOD-Against-4,Food & Beverage,7.84,9.15
PRD0005,TEXT-Per-5,Textiles,25.16,34.63
PRD0006,FURN-Once-6,Furniture,59.34,75.68
PRD0007,TEXT-Drug-7,Textiles,36.51,45.92
PRD0008,PACK-Per-8,Packaging,3.03,4.15
PRD0009,MACH-Discussion-9,Machinery,4929.69,6206.11
PRD0010,CHEM-Account-10,Chemicals,82.3,122.85
PRD0011,TEXT-Avoid-11,Textiles,11.03,16.3
PRD0012,ELEC-Second-12,Electronics,159.76,229.18
PRD0013,CHEM-Program-13,Chemicals,77.86,108.31
PRD0014,PACK-Artist-14,Packaging,2.26,3.45
PRD0015,TEXT-Drop-15,Textiles,14.19,17.51
PRD0016,CHEM-Author-16,Chemicals,9.69,13.72
PRD0017,TEXT-Western-17,Textiles,27.75,32.12
PRD0018,FURN-Almost-18,Furniture,321.89,402.98
PRD0019,PACK-Trade-19,Packaging,10.03,12.32
PRD0020,FOOD-Give-20,Food & Beverage,17.58,23.28
PRD0021,MACH-Avoid-21,Machinery,4689.98,5683.71
PRD0022,AUTO-My-22,Automotive Parts,112.2,134.76
PRD0023,MACH-Economy-23,Machinery,4631.0,7153.98
PRD0024,MACH-Family-24,Machinery,1363.91,1973.57
PRD0025,CHEM-Relationship-25,Chemicals,98.98,138.56
PRD0026,PACK-Mention-26,Packaging,8.42,10.6
PRD0027,TEXT-Difficult-27,Textiles,5.54,8.61
PRD0028,AUTO-Notice-28,Automotive Parts,271.62,389.75
PRD0029,CHEM-Cause-29,Chemicals,43.99,57.5
PRD0030,AUTO-Several-30,Automotive Parts,221.9,344.77
PRD0031,FOOD-Worry-31,Food & Beverage,22.29,33.46
PRD0032,FURN-Us-32,Furniture,395.96,470.35
PRD0033,PACK-Own-33,Packaging,3.26,5.07
PRD0034,CHEM-Part-34,Chemicals,74.74,86.26
PRD0035,MACH-Material-35,Machinery,597.21,865.1
PRD0036,ELEC-Eight-36,Electronics,21.92,26.79
PRD0037,CHEM-Still-37,Chemicals,68.1,99.52
PRD0038,ELEC-Material-38,Electronics,267.75,334.93
PRD0039,MACH-Surface-39,Machinery,3589.68,4511.37
PRD0040,FURN-Investment-40,Furniture,215.48,320.19
PRD0041,PACK-Customer-41,Packaging,10.09,15.46
PRD0042,TEXT-Between-42,Textiles,26.99,37.94
PRD0043,CHEM-Bill-43,Chemicals,15.77,20.74
PRD0044,MACH-Reason-44,Machinery,1399.49,1763.07
PRD0045,CHEM-Lawyer-45,Chemicals,116.9,155.11
PRD0046,FOOD-Health-46,Food & Beverage,22.41,32.14
PRD0047,FURN-Land-47,Furniture,483.04,664.75
PRD0048,FOOD-Item-48,Food & Beverage,14.85,20.37
PRD0049,AUTO-Manage-49,Automotive Parts,70.64,104.2
PRD0050,PACK-Treat-50,Packaging,4.93,5.72
