po_id,supplier_node_id,product_id,order_date,quantity,unit_price,currency,total_value,status
PO000001,SUP0017,PRD0132,2025-01-15,247,4.77,USD,1178.19,fulfilled
PO000002,SUP0037,PRD0064,2026-03-07,171,432.17,USD,73901.07,open
PO000003,SUP0006,PRD0133,2025-11-02,35,460.3,USD,16110.5,fulfilled
PO000004,SUP0014,PRD0071,2025-04-16,667,282.62,USD,188507.54,fulfilled
PO000005,SUP0013,PRD0075,2026-03-24,453,453.85,USD,205594.05,fulfilled
PO000006,SUP0022,PRD0093,2025-07-20,314,78.55,USD,24664.7,fulfilled
PO000007,SUP0040,PRD0083,2026-03-03,41,3767.11,USD,154451.51,fulfilled
PO000008,SUP0007,PRD0143,2025-07-07,162,2.61,USD,422.82,fulfilled
PO000009,SUP0022,PRD0136,2026-05-31,619,1386.32,USD,858132.08,fulfilled
PO000010,SUP0032,PRD0111,2025-01-10,426,896.41,USD,381870.66,fulfilled
PO000011,SUP0029,PRD0136,2024-10-19,219,333.88,USD,73119.72,open
PO000012,SUP0028,PRD0084,2026-04-10,586,76.87,USD,45045.82,open
PO000013,SUP0035,PRD0076,2026-08-13,394,19.83,USD,7813.02,fulfilled
PO000014,SUP0010,PRD0090,2025-04-06,614,1589.72,USD,976088.08,open
PO000015,SUP0036,PRD0036,2025-09-07,797,5.0,USD,3985.0,fulfilled
PO000016,SUP0006,PRD0147,2026-06-28,350,2466.79,USD,863376.5,fulfilled
PO000017,SUP0039,PRD0109,2024-12-07,556,128.67,USD,71540.52,fulfilled
PO000018,SUP0009,PRD0112,2025-01-08,448,3141.8,USD,1407526.4,cancelled
PO000019,SUP0012,PRD0135,2025-01-02,508,1194.54,USD,606826.32,fulfilled
PO000020,SUP0017,PRD0075,2025-09-12,302,2.31,USD,697.62,fulfilled
PO000021,SUP0007,PRD0018,2025-04-18,85,2.31,USD,196.35,fulfilled
PO000022,SUP0012,PRD0136,2024-12-11,570,246.34,USD,140413.8,fulfilled
PO000023,SUP0005,PRD0083,2024-12-20,746,3902.24,USD,2911071.04,fulfilled
PO000024,SUP0035,PRD0122,2025-01-27,126,3.5,USD,441.0,fulfilled
PO000025,SUP0039,PRD0095,2026-05-27,145,73.12,USD,10602.4,fulfilled
PO000026,SUP0034,PRD0062,2025-11-28,610,145.05,USD,88480.5,open
PO000027,SUP0038,PRD0023,2026-05-13,297,1308.61,USD,388657.17,fulfilled
PO000028,SUP0013,PRD0015,2025-10-24,680,4.86,USD,3304.8,open
PO000029,SUP0002,PRD0060,2026-02-26,124,71.47,USD,8862.28,fulfilled
PO000030,SUP0037,PRD0064,2025-09-14,218,2.45,USD,534.1,cancelled
