shipment_id,origin_node_id,dest_node_id,product_id,mode,ship_date,delivery_date,planned_transit_days,actual_transit_days,cost,quantity
SHP000001,SUP0040,WH0002,PRD0098,ocean,2025-12-12,2026-01-02,21,21,10393.67,217
SHP000002,SUP0029,WH0002,PRD0025,ocean,2024-09-22,2024-10-18,24,26,3820.46,67
SHP000003,SUP0014,WH0007,PRD0092,ocean,2025-03-22,2025-04-10,20,19,9508.82,205
SHP000004,SUP0027,WH0001,PRD0089,ocean,2025-02-13,2025-03-09,24,24,28367.39,501
SHP000005,SUP0018,WH0004,PRD0068,ocean,2026-02-20,2026-03-07,18,15,5295.75,126
SHP000006,SUP0003,WH0001,PRD0012,ocean,2026-01-08,2026-01-30,24,22,2507.99,44
SHP000007,SUP0038,WH0003,PRD0118,air,2026-06-13,2026-06-17,4,4,128178.22,307
SHP000008,SUP0017,WH0008,PRD0138,air,2024-11-06,2024-11-10,5,4,69043.35,127
SHP000009,SUP0011,WH0009,PRD0032,ocean,2025-07-07,2025-07-30,27,23,40829.46,625
SHP000010,SUP0021,WH0004,PRD0097,rail,2024-09-25,2024-09-30,5,5,7289.43,310
SHP000011,SUP0010,WH0001,PRD0021,ocean,2025-02-09,2025-02-17,10,8,3615.73,201
SHP000012,SUP0008,WH0002,PRD0142,rail,2025-09-05,2025-09-13,8,8,15377.83,319
SHP000013,SUP0015,WH0004,PRD0076,ocean,2024-09-23,2024-10-01,8,8,8528.29,603
SHP000014,SUP0022,WH0008,PRD0093,ocean,2025-01-26,2025-02-12,15,17,31323.5,960
SHP000015,SUP0033,WH0001,PRD0148,ocean,2025-12-19,2026-01-05,19,17,4112.14,96
SHP000016,SUP0011,WH0010,PRD0050,ocean,2025-10-04,2025-10-30,26,26,6253.8,101
SHP000017,SUP0016,WH0002,PRD0018,ocean,2025-02-11,2025-03-24,38,41,4409.61,46
SHP000018,SUP0022,WH0007,PRD0012,ocean,2025-11-05,2025-11-16,14,11,4369.15,141
SHP000019,SUP0018,WH0006,PRD0059,ocean,2026-04-14,2026-05-15,31,31,81261.5,1047
SHP000020,SUP0025,WH0010,PRD0075,ocean,2024-09-08,2024-09-26,18,18,7849.23,194
SHP000021,SUP0012,WH0003,PRD0021,ocean,2026-04-12,2026-05-08,23,26,10420.14,188
SHP000022,SUP0005,WH0010,PRD0060,ocean,2026-01-23,2026-02-14,25,22,21591.58,367
SHP000023,SUP0006,WH0009,PRD0026,air,2025-05-09,2025-05-13,4,4,46105.39,140
SHP000024,SUP0003,WH0009,PRD0098,air,2024-12-25,2024-12-29,4,4,234836.95,544
SHP000025,SUP0018,WH0007,PRD0072,ocean,2026-07-30,2026-08-23,25,24,39294.3,644
SHP000026,SUP0013,WH0003,PRD0117,road,2025-05-06,2025-05-07,1,1,3172.88,378
SHP000027,SUP0034,WH0008,PRD0094,ocean,2024-11-10,2024-11-27,14,17,4174.33,140
SHP000028,SUP0034,WH0005,PRD0042,rail,2024-11-13,2024-11-16,5,3,4539.04,190
SHP000029,SUP0007,WH0008,PRD0095,road,2026-05-12,2026-05-13,1,1,159.9,116
SHP000030,SUP0027,WH0005,PRD0091,rail,2025-11-16,2025-11-26,10,10,8046.93,137
SHP000031,SUP0021,WH0009,PRD0054,ocean,2026-04-12,2026-05-02,17,20,4217.97,107
SHP000032,SUP0008,WH0002,PRD0069,ocean,2026-02-15,2026-03-02,14,15,9544.86,330
SHP000033,SUP0026,WH0004,PRD0019,rail,2025-09-28,2025-10-04,5,6,7699.61,304
SHP000034,SUP0033,WH0009,PRD0044,ocean,2026-08-11,2026-09-01,19,21,22819.85,526
SHP000035,SUP0037,WH0009,PRD0137,ocean,2025-06-05,2025-06-24,20,19,2568.51,56
SHP000036,SUP0027,WH0004,PRD0063,air,2025-10-09,2025-10-12,3,3,6285.92,24
SHP000037,SUP0037,WH0003,PRD0042,air,2026-04-29,2026-05-03,4,4,69915.11,214
SHP000038,SUP0025,WH0003,PRD0119,air,2025-11-27,2025-12-01,4,4,26794.75,77
SHP000039,SUP0023,WH0008,PRD0098,air,2026-05-22,2026-05-24,3,2,18611.77,96
SHP000040,SUP0023,WH0001,PRD0070,ocean,2025-10-28,2025-11-25,27,28,23406.3,359
SHP000041,SUP0005,WH0003,PRD0143,air,2026-01-28,2026-02-01,4,4,14628.42,36
SHP000042,SUP0032,WH0008,PRD0057,rail,2024-10-07,2024-10-13,6,6,2225.65,70
SHP000043,SUP0031,WH0009,PRD0084,ocean,2025-02-16,2025-03-12,23,24,39574.4,708
SHP000044,SUP0032,WH0009,PRD0015,ocean,2025-04-02,2025-04-23,23,21,3969.36,71
SHP000045,SUP0014,WH0008,PRD0059,ocean,2024-10-31,2024-11-23,26,23,9819.36,155
SHP000046,SUP0023,WH0010,PRD0009,air,2025-02-20,2025-02-24,5,4,57050.78,122
SHP000047,SUP0025,WH0001,PRD0081,ocean,2024-11-16,2024-12-06,19,20,11387.13,263
SHP000048,SUP0022,WH0009,PRD0103,ocean,2025-03-24,2025-04-08,14,15,3482.83,114
SHP000049,SUP0011,WH0005,PRD0069,ocean,2025-12-09,2025-12-27,18,18,8214.73,201
SHP000050,SUP0010,WH0002,PRD0017,ocean,2025-05-26,2025-06-17,22,22,2631.51,52
SHP000051,SUP0027,WH0010,PRD0055,ocean,2025-05-30,2025-06-23,23,24,14995.88,279
SHP000052,SUP0011,WH0009,PRD0146,air,2025-02-03,2025-02-08,5,5,132777.41,271
SHP000053,SUP0008,WH0003,PRD0081,air,2025-03-16,2025-03-19,3,3,51833.24,200
SHP000054,SUP0015,WH0009,PRD0055,ocean,2026-07-16,2026-08-01,18,16,11035.13,277
SHP000055,SUP0035,WH0005,PRD0128,ocean,2025-12-18,2026-01-18,30,31,10252.32,140
SHP000056,SUP0032,WH0006,PRD0102,ocean,2025-11-20,2025-12-20,33,30,37156.46,449
SHP000057,SUP0024,WH0006,PRD0118,ocean,2025-01-06,2025-01-13,7,7,3341.94,302
SHP000058,SUP0018,WH0005,PRD0037,ocean,2026-02-15,2026-03-04,18,17,6672.09,158
SHP000059,SUP0033,WH0006,PRD0068,ocean,2024-12-31,2025-01-29,29,29,60257.93,866
SHP000060,SUP0016,WH0002,PRD0036,ocean,2025-06-06,2025-07-13,38,37,20514.25,214
SHP000061,SUP0011,WH0004,PRD0064,ocean,2026-08-23,2026-09-13,18,21,4435.41,110
SHP000062,SUP0002,WH0008,PRD0144,ocean,2025-12-12,2026-01-02,22,21,14279.94,271
SHP000063,SUP0032,WH0009,PRD0138,ocean,2025-10-13,2025-11-06,23,24,8833.23,158
SHP000064,SUP0013,WH0005,PRD0068,air,2026-01-14,2026-01-17,3,3,41847.04,195
SHP000065,SUP0008,WH0002,PRD0150,rail,2026-05-08,2026-05-15,8,7,5399.11,112
SHP000066,SUP0029,WH0007,PRD0110,road,2026-03-21,2026-03-22,1,1,2097.86,184
SHP000067,SUP0002,WH0001,PRD0150,road,2025-02-17,2025-02-18,1,1,277.48,69
SHP000068,SUP0010,WH0009,PRD0103,air,2024-09-27,2024-09-28,2,1,28662.65,210
SHP000069,SUP0020,WH0005,PRD0093,rail,2025-04-21,2025-04-24,4,3,9511.14,539
SHP000070,SUP0021,WH0005,PRD0057,ocean,2025-03-17,2025-03-26,8,9,2803.65,195
SHP000071,SUP0008,WH0005,PRD0036,rail,2025-02-04,2025-02-07,3,3,2518.1,161
SHP000072,SUP0019,WH0007,PRD0131,road,2026-07-20,2026-07-21,1,1,2150.41,542
SHP000073,SUP0002,WH0001,PRD0127,rail,2026-06-02,2026-06-03,1,1,475.88,213
SHP000074,SUP0012,WH0010,PRD0024,ocean,2025-04-20,2025-05-11,22,21,10865.96,212
SHP000075,SUP0019,WH0001,PRD0013,rail,2025-12-23,2025-12-24,1,1,456.37,455
SHP000076,SUP0025,WH0009,PRD0029,ocean,2025-06-18,2025-07-10,19,22,6402.08,146
SHP000077,SUP0023,WH0007,PRD0040,ocean,2026-06-29,2026-07-28,27,29,8181.05,124
SHP000078,SUP0017,WH0004,PRD0041,ocean,2025-08-03,2025-08-19,15,16,2570.37,81
SHP000079,SUP0028,WH0005,PRD0109,rail,2025-03-15,2025-03-22,8,7,14193.43,291
SHP000080,SUP0039,WH0006,PRD0017,ocean,2025-03-02,2025-03-29,27,27,30758.77,478
SHP000081,SUP0030,WH0005,PRD0099,ocean,2025-10-16,2025-11-03,18,18,7397.52,176
SHP000082,SUP0036,WH0005,PRD0098,ocean,2025-03-13,2025-04-02,18,20,4898.4,116
SHP000083,SUP0012,WH0006,PRD0120,ocean,2025-11-02,2025-11-29,25,27,17540.13,295
SHP000084,SUP0022,WH0008,PRD0136,air,2026-06-17,2026-06-20,3,3,74393.32,304
SHP000085,SUP0016,WH0005,PRD0065,ocean,2025-06-20,2025-07-26,35,36,14010.66,162
SHP000086,SUP0016,WH0004,PRD0142,ocean,2025-02-10,2025-03-13,35,31,7532.57,86
SHP000087,SUP0028,WH0004,PRD0003,rail,2026-08-29,2026-09-08,9,10,6363.97,126
SHP000088,SUP0014,WH0008,PRD0030,ocean,2025-09-08,2025-10-02,26,24,10959.67,173
SHP000089,SUP0001,WH0006,PRD0138,ocean,2024-11-09,2024-12-05,26,26,31642.47,502
SHP000090,SUP0027,WH0010,PRD0069,air,2024-10-08,2024-10-12,4,4,33861.67,84
SHP000091,SUP0016,WH0009,PRD0088,ocean,2024-11-22,2024-12-14,24,22,12757.15,219
SHP000092,SUP0030,WH0007,PRD0029,air,2025-12-03,2025-12-08,5,5,64035.22,128
SHP000093,SUP0009,WH0004,PRD0076,ocean,2026-04-02,2026-05-01,31,29,65417.39,867
SHP000094,SUP0023,WH0004,PRD0112,ocean,2025-07-07,2025-07-27,18,20,19634.63,485
SHP000095,SUP0032,WH0010,PRD0041,ocean,2024-10-20,2024-11-12,22,23,7242.14,138
SHP000096,SUP0025,WH0007,PRD0117,ocean,2025-06-08,2025-06-26,19,18,16716.16,379
SHP000097,SUP0001,WH0007,PRD0001,air,2026-08-28,2026-08-31,4,3,37866.19,97
SHP000098,SUP0004,WH0010,PRD0068,ocean,2025-09-23,2025-10-17,25,24,13427.4,225
SHP000099,SUP0004,WH0009,PRD0129,ocean,2026-08-10,2026-09-03,24,24,12371.16,216
SHP000100,SUP0007,WH0010,PRD0046,ocean,2026-05-21,2026-06-11,21,21,14588.02,301
SHP000101,SUP0036,WH0001,PRD0130,ocean,2024-09-12,2024-10-01,22,19,24488.46,474
SHP000102,SUP0016,WH0005,PRD0028,ocean,2026-02-09,2026-03-15,35,34,14097.15,163
SHP000103,SUP0007,WH0001,PRD0077,ocean,2026-01-11,2026-01-30,22,19,19806.89,388
SHP000104,SUP0009,WH0006,PRD0130,road,2025-09-28,2025-09-29,1,1,1454.82,568
SHP000105,SUP0022,WH0004,PRD0051,ocean,2025-03-16,2025-03-19,7,3,676.1,69
SHP000106,SUP0027,WH0004,PRD0040,rail,2025-12-13,2025-12-21,10,8,5936.71,102
SHP000107,SUP0037,WH0006,PRD0096,rail,2024-11-23,2024-11-25,1,2,693.19,230
SHP000108,SUP0035,WH0006,PRD0042,air,2025-07-16,2025-07-20,4,4,131177.28,395
SHP000109,SUP0034,WH0001,PRD0139,air,2025-07-30,2025-08-01,3,2,41330.03,142
