shipment_id,origin_node_id,dest_node_id,product_id,mode,ship_date,delivery_date,planned_transit_days,actual_transit_days,cost,quantity,leg
SHP000001,SUP0040,WH0002,PRD0098,ocean,2025-12-12,2026-01-02,21,21,10393.67,217,supplier_to_warehouse
SHP000002,SUP0029,WH0002,PRD0025,ocean,2024-09-22,2024-10-18,24,26,3820.46,67,supplier_to_warehouse
SHP000003,SUP0014,WH0007,PRD0092,ocean,2025-03-22,2025-04-10,20,19,9508.82,205,supplier_to_warehouse
SHP000004,SUP0027,WH0001,PRD0089,ocean,2025-02-13,2025-03-09,24,24,28367.39,501,supplier_to_warehouse
SHP000005,SUP0018,WH0004,PRD0068,ocean,2026-02-20,2026-03-07,18,15,5295.75,126,supplier_to_warehouse
SHP000006,SUP0003,WH0001,PRD0012,ocean,2026-01-08,2026-01-30,24,22,2507.99,44,supplier_to_warehouse
SHP000007,SUP0038,WH0003,PRD0118,air,2026-06-13,2026-06-17,4,4,128178.22,307,supplier_to_warehouse
SHP000008,SUP0017,WH0008,PRD0138,air,2024-11-06,2024-11-10,5,4,69043.35,127,supplier_to_warehouse
SHP000009,SUP0011,WH0009,PRD0032,ocean,2025-07-07,2025-07-30,27,23,40829.46,625,supplier_to_warehouse
SHP000010,SUP0021,WH0004,PRD0097,rail,2024-09-25,2024-09-30,5,5,7289.43,310,supplier_to_warehouse
SHP000011,SUP0010,WH0001,PRD0021,ocean,2025-02-09,2025-02-17,10,8,3615.73,201,supplier_to_warehouse
SHP000012,SUP0008,WH0002,PRD0142,rail,2025-09-05,2025-09-13,8,8,15377.83,319,supplier_to_warehouse
SHP000013,SUP0015,WH0004,PRD0076,ocean,2024-09-23,2024-10-01,8,8,8528.29,603,supplier_to_warehouse
SHP000014,SUP0022,WH0008,PRD0093,ocean,2025-01-26,2025-02-12,15,17,31323.5,960,supplier_to_warehouse
SHP000015,SUP0033,WH0001,PRD0148,ocean,2025-12-19,2026-01-05,19,17,4112.14,96,supplier_to_warehouse
SHP000016,SUP0011,WH0010,PRD0050,ocean,2025-10-04,2025-10-30,26,26,6253.8,101,supplier_to_warehouse
SHP000017,SUP0016,WH0002,PRD0018,ocean,2025-02-11,2025-03-24,38,41,4409.61,46,supplier_to_warehouse
SHP000018,SUP0022,WH0007,PRD0012,ocean,2025-11-05,2025-11-16,14,11,4369.15,141,supplier_to_warehouse
SHP000019,SUP0018,WH0006,PRD0059,ocean,2026-04-14,2026-05-15,31,31,81261.5,1047,supplier_to_warehouse
SHP000020,SUP0025,WH0010,PRD0075,ocean,2024-09-08,2024-09-26,18,18,7849.23,194,supplier_to_warehouse
SHP000021,SUP0012,WH0003,PRD0021,ocean,2026-04-12,2026-05-08,23,26,10420.14,188,supplier_to_warehouse
SHP000022,SUP0005,WH0010,PRD0060,ocean,2026-01-23,2026-02-14,25,22,21591.58,367,supplier_to_warehouse
SHP000023,SUP0006,WH0009,PRD0026,air,2025-05-09,2025-05-13,4,4,46105.39,140,supplier_to_warehouse
SHP000024,SUP0003,WH0009,PRD0098,air,2024-12-25,2024-12-29,4,4,234836.95,544,supplier_to_warehouse
SHP000025,SUP0018,WH0007,PRD0072,ocean,2026-07-30,2026-08-23,25,24,39294.3,644,supplier_to_warehouse
SHP000026,SUP0013,WH0003,PRD0117,road,2025-05-06,2025-05-07,1,1,3172.88,378,supplier_to_warehouse
SHP000027,SUP0034,WH0008,PRD0094,ocean,2024-11-10,2024-11-27,14,17,4174.33,140,supplier_to_warehouse
SHP000028,SUP0034,WH0005,PRD0042,rail,2024-11-13,2024-11-16,5,3,4539.04,190,supplier_to_warehouse
SHP000029,SUP0007,WH0008,PRD0095,road,2026-05-12,2026-05-13,1,1,159.9,116,supplier_to_warehouse
SHP000030,SUP0027,WH0005,PRD0091,rail,2025-11-16,2025-11-26,10,10,8046.93,137,supplier_to_warehouse
SHP000031,SUP0021,WH0009,PRD0054,ocean,2026-04-12,2026-05-02,17,20,4217.97,107,supplier_to_warehouse
SHP000032,SUP0008,WH0002,PRD0069,ocean,2026-02-15,2026-03-02,14,15,9544.86,330,supplier_to_warehouse
SHP000033,SUP0026,WH0004,PRD0019,rail,2025-09-28,2025-10-04,5,6,7699.61,304,supplier_to_warehouse
SHP000034,SUP0033,WH0009,PRD0044,ocean,2026-08-11,2026-09-01,19,21,22819.85,526,supplier_to_warehouse
SHP000035,SUP0037,WH0009,PRD0137,ocean,2025-06-05,2025-06-24,20,19,2568.51,56,supplier_to_warehouse
SHP000036,SUP0027,WH0004,PRD0063,air,2025-10-09,2025-10-12,3,3,6285.92,24,supplier_to_warehouse
SHP000037,SUP0037,WH0003,PRD0042,air,2026-04-29,2026-05-03,4,4,69915.11,214,supplier_to_warehouse
SHP000038,SUP0025,WH0003,PRD0119,air,2025-11-27,2025-12-01,4,4,26794.75,77,supplier_to_warehouse
SHP000039,SUP0023,WH0008,PRD0098,air,2026-05-22,2026-05-24,3,2,18611.77,96,supplier_to_warehouse
SHP000040,SUP0023,WH0001,PRD0070,ocean,2025-10-28,2025-11-25,27,28,23406.3,359,supplier_to_warehouse
SHP000041,SUP0005,WH0003,PRD0143,air,2026-01-28,2026-02-01,4,4,14628.42,36,supplier_to_warehouse
SHP000042,SUP0032,WH0008,PRD0057,rail,2024-10-07,2024-10-13,6,6,2225.65,70,supplier_to_warehouse
SHP000043,SUP0031,WH0009,PRD0084,ocean,2025-02-16,2025-03-12,23,24,39574.4,708,supplier_to_warehouse
SHP000044,SUP0032,WH0009,PRD0015,ocean,2025-04-02,2025-04-23,23,21,3969.36,71,supplier_to_warehouse
SHP000045,SUP0014,WH0008,PRD0059,ocean,2024-10-31,2024-11-23,26,23,9819.36,155,supplier_to_warehouse
SHP000046,SUP0023,WH0010,PRD0009,air,2025-02-20,2025-02-24,5,4,57050.78,122,supplier_to_warehouse
SHP000047,SUP0025,WH0001,PRD0081,ocean,2024-11-16,2024-12-06,19,20,11387.13,263,supplier_to_warehouse
SHP000048,SUP0022,WH0009,PRD0103,ocean,2025-03-24,2025-04-08,14,15,3482.83,114,supplier_to_warehouse
SHP000049,SUP0011,WH0005,PRD0069,ocean,2025-12-09,2025-12-27,18,18,8214.73,201,supplier_to_warehouse
SHP000050,SUP0010,WH0002,PRD0017,ocean,2025-05-26,2025-06-17,22,22,2631.51,52,supplier_to_warehouse
SHP000051,SUP0027,WH0010,PRD0055,ocean,2025-05-30,2025-06-23,23,24,14995.88,279,supplier_to_warehouse
SHP000052,SUP0011,WH0009,PRD0146,air,2025-02-03,2025-02-08,5,5,132777.41,271,supplier_to_warehouse
SHP000053,SUP0008,WH0003,PRD0081,air,2025-03-16,2025-03-19,3,3,51833.24,200,supplier_to_warehouse
SHP000054,SUP0015,WH0009,PRD0055,ocean,2026-07-16,2026-08-01,18,16,11035.13,277,supplier_to_warehouse
SHP000055,SUP0035,WH0005,PRD0128,ocean,2025-12-18,2026-01-18,30,31,10252.32,140,supplier_to_warehouse
SHP000056,SUP0032,WH0006,PRD0102,ocean,2025-11-20,2025-12-20,33,30,37156.46,449,supplier_to_warehouse
SHP000057,SUP0024,WH0006,PRD0118,ocean,2025-01-06,2025-01-13,7,7,3341.94,302,supplier_to_warehouse
SHP000058,SUP0018,WH0005,PRD0037,ocean,2026-02-15,2026-03-04,18,17,6672.09,158,supplier_to_warehouse
SHP000059,SUP0033,WH0006,PRD0068,ocean,2024-12-31,2025-01-29,29,29,60257.93,866,supplier_to_warehouse
SHP000060,SUP0016,WH0002,PRD0036,ocean,2025-06-06,2025-07-13,38,37,20514.25,214,supplier_to_warehouse
SHP000061,SUP0011,WH0004,PRD0064,ocean,2026-08-23,2026-09-13,18,21,4435.41,110,supplier_to_warehouse
SHP000062,SUP0002,WH0008,PRD0144,ocean,2025-12-12,2026-01-02,22,21,14279.94,271,supplier_to_warehouse
SHP000063,SUP0032,WH0009,PRD0138,ocean,2025-10-13,2025-11-06,23,24,8833.23,158,supplier_to_warehouse
SHP000064,SUP0013,WH0005,PRD0068,air,2026-01-14,2026-01-17,3,3,41847.04,195,supplier_to_warehouse
SHP000065,SUP0008,WH0002,PRD0150,rail,2026-05-08,2026-05-15,8,7,5399.11,112,supplier_to_warehouse
SHP000066,SUP0029,WH0007,PRD0110,road,2026-03-21,2026-03-22,1,1,2097.86,184,supplier_to_warehouse
