signal_id,supplier_node_id,month,country_risk_index,currency_volatility,sanctions_flag
RSK000001,SUP0001,2024-10,17.7,0.042,False
RSK000002,SUP0001,2024-11,18.9,0.086,False
RSK000003,SUP0001,2024-12,17.9,0.071,False
RSK000004,SUP0001,2025-01,24.1,0.079,False
RSK000005,SUP0001,2025-02,23.5,0.066,False
RSK000006,SUP0001,2025-03,23.3,0.084,False
RSK000007,SUP0001,2025-04,20.9,0.049,False
RSK000008,SUP0001,2025-05,25.8,0.08,False
RSK000009,SUP0001,2025-06,26.3,0.078,False
RSK000010,SUP0001,2025-07,25.7,0.09,False
RSK000011,SUP0001,2025-08,21.2,0.085,False
RSK000012,SUP0001,2025-09,21.7,0.072,False
RSK000013,SUP0001,2025-10,16.1,0.068,False
RSK000014,SUP0001,2025-11,19.5,0.074,False
RSK000015,SUP0001,2025-12,27.2,0.065,False
RSK000016,SUP0001,2026-01,19.1,0.084,False
RSK000017,SUP0001,2026-02,19.3,0.077,False
RSK000018,SUP0001,2026-03,24.9,0.076,False
RSK000019,SUP0001,2026-04,23.9,0.042,False
RSK000020,SUP0001,2026-05,18.3,0.082,False
RSK000021,SUP0001,2026-06,24.3,0.074,False
RSK000022,SUP0001,2026-07,22.9,0.071,False
RSK000023,SUP0001,2026-08,20.8,0.07,False
RSK000024,SUP0001,2026-09,14.8,0.089,False
RSK000025,SUP0002,2024-10,13.3,0.039,False
RSK000026,SUP0002,2024-11,6.6,0.042,False
RSK000027,SUP0002,2024-12,6.5,0.042,False
RSK000028,SUP0002,2025-01,13.6,0.049,False
RSK000029,SUP0002,2025-02,15.8,0.045,False
RSK000030,SUP0002,2025-03,7.9,0.03,False
RSK000031,SUP0002,2025-04,14.6,0.049,False
RSK000032,SUP0002,2025-05,16.2,0.039,False
RSK000033,SUP0002,2025-06,7.9,0.046,False
RSK000034,SUP0002,2025-07,11.8,0.025,False
RSK000035,SUP0002,2025-08,6.7,0.04,False
RSK000036,SUP0002,2025-09,12.3,0.046,False
RSK000037,SUP0002,2025-10,15.3,0.044,False
RSK000038,SUP0002,2025-11,14.9,0.035,False
RSK000039,SUP0002,2025-12,11.4,0.044,False
RSK000040,SUP0002,2026-01,6.2,0.048,False
RSK000041,SUP0002,2026-02,17.1,0.034,False
RSK000042,SUP0002,2026-03,8.7,0.038,False
RSK000043,SUP0002,2026-04,17.2,0.043,False
RSK000044,SUP0002,2026-05,5.0,0.041,False
RSK000045,SUP0002,2026-06,9.6,0.038,False
RSK000046,SUP0002,2026-07,11.3,0.032,False
RSK000047,SUP0002,2026-08,11.6,0.027,False
RSK000048,SUP0002,2026-09,7.2,0.05,False
RSK000049,SUP0003,2024-10,39.8,0.1,False
RSK000050,SUP0003,2024-11,41.3,0.103,False
RSK000051,SUP0003,2024-12,44.9,0.154,True
RSK000052,SUP0003,2025-01,43.7,0.105,False
